'Time and date','ECG','BP','EEG (O2-A1)','Resp (nasal)'
'[03:59:38.836 01/02/1989]',0.092,88.132,-0.005,-0.605
'[03:59:38.840 01/02/1989]',0.102,87.934,-0.004,-0.565
'[03:59:38.844 01/02/1989]',0.094,87.934,-0.006,-0.645
'[03:59:38.848 01/02/1989]',0.096,87.934,-0.009,-0.548
'[03:59:38.852 01/02/1989]',0.104,87.341,-0.011,-0.581
'[03:59:38.856 01/02/1989]',0.108,86.946,-0.012,-0.613
'[03:59:38.860 01/02/1989]',0.110,87.341,-0.013,-0.597
'[03:59:38.864 01/02/1989]',0.096,87.144,-0.014,-0.581
'[03:59:38.868 01/02/1989]',0.118,87.539,-0.013,-0.694
'[03:59:38.872 01/02/1989]',0.120,87.341,-0.013,-1.718
'[03:59:38.876 01/02/1989]',0.118,87.539,-0.014,-0.839
'[03:59:38.880 01/02/1989]',0.124,87.934,-0.013,-0.629
'[03:59:38.884 01/02/1989]',0.128,88.527,-0.010,-0.613
'[03:59:38.888 01/02/1989]',0.128,89.515,-0.009,-0.419
'[03:59:38.892 01/02/1989]',0.138,91.096,-0.009,-0.460
'[03:59:38.896 01/02/1989]',0.138,92.479,-0.006,-0.581
'[03:59:38.900 01/02/1989]',0.152,94.060,-0.007,-0.565
'[03:59:38.904 01/02/1989]',0.148,96.629,-0.006,-0.597
'[03:59:38.908 01/02/1989]',0.160,99.000,-0.006,-0.613
'[03:59:38.912 01/02/1989]',0.160,101.569,-0.007,-0.573
'[03:59:38.916 01/02/1989]',0.168,104.533,-0.006,-0.613
'[03:59:38.920 01/02/1989]',0.176,107.695,-0.005,-0.621
'[03:59:38.924 01/02/1989]',0.178,111.054,-0.005,-0.629
'[03:59:38.928 01/02/1989]',0.194,113.820,-0.006,-0.605
'[03:59:38.932 01/02/1989]',0.194,117.377,-0.007,-0.581
'[03:59:38.936 01/02/1989]',0.194,121.527,-0.006,-0.581
'[03:59:38.940 01/02/1989]',0.206,124.293,-0.006,-0.548
'[03:59:38.944 01/02/1989]',0.206,127.455,-0.005,-0.556
'[03:59:38.948 01/02/1989]',0.214,130.419,-0.006,-0.589
'[03:59:38.952 01/02/1989]',0.216,132.988,-0.005,-0.548
'[03:59:38.956 01/02/1989]',0.220,135.359,-0.006,-0.589
'[03:59:38.960 01/02/1989]',0.216,137.928,-0.006,-0.597
'[03:59:38.964 01/02/1989]',0.216,139.706,-0.006,-0.589
'[03:59:38.968 01/02/1989]',0.216,140.892,-0.009,-0.629
'[03:59:38.972 01/02/1989]',0.208,141.880,-0.007,-0.597
'[03:59:38.976 01/02/1989]',0.200,143.263,-0.010,-0.669
'[03:59:38.980 01/02/1989]',0.192,143.856,-0.011,-0.589
'[03:59:38.984 01/02/1989]',0.184,143.659,-0.009,-0.565
'[03:59:38.988 01/02/1989]',0.162,143.856,-0.009,-0.565
'[03:59:38.992 01/02/1989]',0.152,144.054,-0.011,-0.589
'[03:59:38.996 01/02/1989]',0.132,142.473,-0.010,-0.581
'[03:59:39.000 01/02/1989]',0.134,141.683,-0.012,-0.556
'[03:59:39.004 01/02/1989]',0.090,141.683,-0.013,-0.581
'[03:59:39.008 01/02/1989]',0.088,141.287,-0.012,-0.605
'[03:59:39.012 01/02/1989]',0.076,139.706,-0.013,-0.621
'[03:59:39.016 01/02/1989]',0.064,138.521,-0.011,-0.637
'[03:59:39.020 01/02/1989]',0.044,137.730,-0.010,-0.613
'[03:59:39.024 01/02/1989]',0.026,136.545,-0.009,-0.621
'[03:59:39.028 01/02/1989]',-0.008,135.557,-0.009,-0.645
'[03:59:39.032 01/02/1989]',0.016,134.569,-0.009,-0.613
'[03:59:39.036 01/02/1989]',0.016,133.976,-0.009,-0.629
'[03:59:39.040 01/02/1989]',0.006,133.186,-0.007,-0.637
'[03:59:39.044 01/02/1989]',0.012,132.593,-0.007,-0.605
'[03:59:39.048 01/02/1989]',0.010,131.407,-0.006,-0.629
'[03:59:39.052 01/02/1989]',0.006,130.617,-0.007,-0.613
'[03:59:39.056 01/02/1989]',0.008,130.617,-0.005,-0.685
'[03:59:39.060 01/02/1989]',0.006,130.024,-0.004,-0.500
'[03:59:39.064 01/02/1989]',0.008,129.431,-0.003,-0.629
'[03:59:39.068 01/02/1989]',0.008,128.838,-0.002,-0.702
'[03:59:39.072 01/02/1989]',0.014,128.048,-0.001,-0.694
'[03:59:39.076 01/02/1989]',0.016,128.048,-0.000,-0.710
'[03:59:39.080 01/02/1989]',0.018,128.245,0.000,-0.669
'[03:59:39.084 01/02/1989]',0.024,127.455,0.002,-0.669
'[03:59:39.088 01/02/1989]',0.024,126.862,0.002,-0.661
'[03:59:39.092 01/02/1989]',0.024,127.257,0.001,-0.653
'[03:59:39.096 01/02/1989]',0.024,126.467,0.002,-0.645
'[03:59:39.100 01/02/1989]',0.026,126.665,0.003,-0.645
'[03:59:39.104 01/02/1989]',0.036,126.467,0.003,-0.677
'[03:59:39.108 01/02/1989]',0.032,125.874,0.005,-0.677
'[03:59:39.112 01/02/1989]',0.036,125.677,0.005,-0.685
'[03:59:39.116 01/02/1989]',0.036,125.479,0.007,-0.710
'[03:59:39.120 01/02/1989]',0.040,125.281,0.008,-0.661
'[03:59:39.124 01/02/1989]',0.040,125.084,0.009,-0.694
'[03:59:39.128 01/02/1989]',0.040,123.898,0.007,-0.661
'[03:59:39.132 01/02/1989]',0.032,123.503,0.008,-0.677
'[03:59:39.136 01/02/1989]',0.040,123.305,0.008,-0.710
'[03:59:39.140 01/02/1989]',0.038,122.712,0.009,-0.661
'[03:59:39.144 01/02/1989]',0.040,121.724,0.010,-0.645
'[03:59:39.148 01/02/1989]',0.048,120.934,0.009,-0.685
'[03:59:39.152 01/02/1989]',0.042,119.748,0.008,-0.661
'[03:59:39.156 01/02/1989]',0.036,118.563,0.008,-0.694
'[03:59:39.160 01/02/1989]',0.042,117.180,0.007,-0.694
'[03:59:39.164 01/02/1989]',0.040,115.796,0.006,-0.677
'[03:59:39.168 01/02/1989]',0.048,114.808,0.006,-0.726
'[03:59:39.172 01/02/1989]',0.040,113.425,0.006,-0.677
'[03:59:39.176 01/02/1989]',0.046,112.042,0.006,-0.710
'[03:59:39.180 01/02/1989]',0.042,110.856,0.006,-0.653
'[03:59:39.184 01/02/1989]',0.044,109.868,0.007,-0.661
'[03:59:39.188 01/02/1989]',0.044,109.078,0.007,-0.677
'[03:59:39.192 01/02/1989]',0.050,107.892,0.006,-0.637
'[03:59:39.196 01/02/1989]',0.048,107.497,0.006,-0.677
'[03:59:39.200 01/02/1989]',0.044,106.707,0.007,-0.653
'[03:59:39.204 01/02/1989]',0.050,106.707,0.006,-0.677
'[03:59:39.208 01/02/1989]',0.052,106.114,0.006,-0.677
'[03:59:39.212 01/02/1989]',0.050,105.323,0.007,-0.710
'[03:59:39.216 01/02/1989]',0.046,104.928,0.007,-0.669
'[03:59:39.220 01/02/1989]',0.050,105.521,0.007,-0.710
'[03:59:39.224 01/02/1989]',0.058,105.323,0.008,-0.669
'[03:59:39.228 01/02/1989]',0.072,105.718,0.007,-0.710
'[03:59:39.232 01/02/1989]',0.082,105.323,0.006,-0.677
'[03:59:39.236 01/02/1989]',0.102,105.916,0.006,-0.653
'[03:59:39.240 01/02/1989]',0.112,105.916,0.007,-0.637
'[03:59:39.244 01/02/1989]',0.124,106.114,0.006,-0.645
'[03:59:39.248 01/02/1989]',0.134,106.509,0.004,-0.621
'[03:59:39.252 01/02/1989]',0.154,106.707,0.003,-0.637
'[03:59:39.256 01/02/1989]',0.168,107.497,0.002,-0.661
'[03:59:39.260 01/02/1989]',0.178,108.090,0.001,-0.694
'[03:59:39.264 01/02/1989]',0.172,108.090,-0.000,-0.694
'[03:59:39.268 01/02/1989]',0.174,108.287,-0.000,-0.677
'[03:59:39.272 01/02/1989]',0.176,108.880,-0.001,-0.718
'[03:59:39.276 01/02/1989]',0.184,108.683,-0.002,-0.669
'[03:59:39.280 01/02/1989]',0.190,108.880,-0.003,-0.645
'[03:59:39.284 01/02/1989]',0.190,108.485,-0.002,-0.710
'[03:59:39.288 01/02/1989]',0.176,108.880,-0.003,-0.645
'[03:59:39.292 01/02/1989]',0.156,108.880,-0.003,-0.653
'[03:59:39.296 01/02/1989]',0.138,108.683,-0.002,-0.645
'[03:59:39.300 01/02/1989]',0.114,108.880,-0.002,-0.677
'[03:59:39.304 01/02/1989]',0.080,108.880,0.001,-0.694
'[03:59:39.308 01/02/1989]',0.058,108.485,-0.001,-0.677
'[03:59:39.312 01/02/1989]',0.038,108.485,-0.000,-0.718
'[03:59:39.316 01/02/1989]',0.016,107.892,0.000,-0.718
'[03:59:39.320 01/02/1989]',0.012,108.090,0.001,-0.694
'[03:59:39.324 01/02/1989]',0.010,107.695,0.002,-0.710
'[03:59:39.328 01/02/1989]',0.012,106.509,0.003,-0.710
'[03:59:39.332 01/02/1989]',0.010,106.311,0.004,-0.710
'[03:59:39.336 01/02/1989]',0.008,106.114,0.005,-0.685
'[03:59:39.340 01/02/1989]',0.008,106.114,0.006,-0.710
'[03:59:39.344 01/02/1989]',0.004,105.916,0.007,-0.710
'[03:59:39.348 01/02/1989]',0.002,104.928,0.006,-0.726
'[03:59:39.352 01/02/1989]',0.010,104.335,0.008,-0.758
'[03:59:39.356 01/02/1989]',0.018,104.335,0.009,-0.726
'[03:59:39.360 01/02/1989]',0.010,103.742,0.010,-0.766
'[03:59:39.364 01/02/1989]',0.014,103.150,0.010,-0.758
'[03:59:39.368 01/02/1989]',0.012,102.754,0.011,-0.742
'[03:59:39.372 01/02/1989]',0.018,102.754,0.012,-0.758
'[03:59:39.376 01/02/1989]',0.016,102.754,0.011,-0.758
'[03:59:39.380 01/02/1989]',0.018,101.964,0.013,-0.742
'[03:59:39.384 01/02/1989]',0.024,101.371,0.012,-0.758
'[03:59:39.388 01/02/1989]',0.026,101.371,0.011,-0.685
'[03:59:39.392 01/02/1989]',0.034,101.174,0.012,-0.766
'[03:59:39.396 01/02/1989]',0.044,100.383,0.011,-0.718
'[03:59:39.400 01/02/1989]',0.036,99.988,0.010,-0.774
'[03:59:39.404 01/02/1989]',0.014,100.186,0.009,-0.742
'[03:59:39.408 01/02/1989]',0.002,99.988,0.008,-0.750
'[03:59:39.412 01/02/1989]',0.072,98.802,0.005,-0.774
'[03:59:39.416 01/02/1989]',0.182,98.210,0.001,-0.782
'[03:59:39.420 01/02/1989]',0.448,98.210,-0.005,-0.798
'[03:59:39.424 01/02/1989]',0.662,98.210,-0.010,-0.839
'[03:59:39.428 01/02/1989]',0.864,97.419,-0.009,-0.774
'[03:59:39.432 01/02/1989]',0.658,97.024,-0.008,-0.677
'[03:59:39.436 01/02/1989]',0.466,97.419,-0.002,-0.758
'[03:59:39.440 01/02/1989]',0.144,96.629,0.005,-0.726
'[03:59:39.444 01/02/1989]',-0.166,95.838,0.006,-0.742
'[03:59:39.448 01/02/1989]',-0.140,96.233,0.005,-0.718
'[03:59:39.452 01/02/1989]',-0.166,95.838,0.005,-0.742
'[03:59:39.456 01/02/1989]',-0.076,95.443,0.004,-0.718
'[03:59:39.460 01/02/1989]',-0.014,95.048,0.004,-0.774
'[03:59:39.464 01/02/1989]',0.044,94.850,0.004,-0.750
'[03:59:39.468 01/02/1989]',0.048,94.455,0.005,-0.742
'[03:59:39.472 01/02/1989]',0.038,94.257,0.005,-0.726
'[03:59:39.476 01/02/1989]',0.024,93.467,0.005,-0.710
'[03:59:39.480 01/02/1989]',0.048,93.467,0.004,-0.726
'[03:59:39.484 01/02/1989]',0.040,93.269,0.004,-0.677
'[03:59:39.488 01/02/1989]',0.048,92.874,0.004,-0.702
'[03:59:39.492 01/02/1989]',0.042,92.677,0.003,-0.702
'[03:59:39.496 01/02/1989]',0.050,92.479,0.005,-0.726
'[03:59:39.500 01/02/1989]',0.048,91.886,0.005,-0.685
'[03:59:39.504 01/02/1989]',0.056,91.689,0.003,-0.710
'[03:59:39.508 01/02/1989]',0.056,91.886,0.003,-0.718
'[03:59:39.512 01/02/1989]',0.066,91.096,0.003,-0.726
'[03:59:39.516 01/02/1989]',0.070,90.701,0.004,-0.766
'[03:59:39.520 01/02/1989]',0.070,90.898,0.004,-0.677
'[03:59:39.524 01/02/1989]',0.072,90.701,0.006,-0.702
'[03:59:39.528 01/02/1989]',0.082,90.108,0.005,-0.734
'[03:59:39.532 01/02/1989]',0.082,89.713,0.006,-0.661
'[03:59:39.536 01/02/1989]',0.090,90.108,0.007,-0.645
'[03:59:39.540 01/02/1989]',0.092,89.515,0.008,-0.685
'[03:59:39.544 01/02/1989]',0.086,88.724,0.010,-0.694
'[03:59:39.548 01/02/1989]',0.092,88.724,0.010,-0.637
'[03:59:39.552 01/02/1989]',0.096,88.724,0.009,-0.661
'[03:59:39.556 01/02/1989]',0.096,88.724,0.009,-0.702
'[03:59:39.560 01/02/1989]',0.104,87.934,0.010,-0.742
'[03:59:39.564 01/02/1989]',0.100,87.934,0.008,-0.710
'[03:59:39.568 01/02/1989]',0.104,87.934,0.008,-0.677
'[03:59:39.572 01/02/1989]',0.102,87.934,0.008,-0.645
'[03:59:39.576 01/02/1989]',0.104,88.132,0.009,-0.677
'[03:59:39.580 01/02/1989]',0.104,88.132,0.007,-0.677
'[03:59:39.584 01/02/1989]',0.118,88.132,0.007,-0.702
'[03:59:39.588 01/02/1989]',0.118,88.329,0.007,-0.750
'[03:59:39.592 01/02/1989]',0.112,88.329,0.005,-0.677
'[03:59:39.596 01/02/1989]',0.128,88.724,0.005,-0.677
'[03:59:39.600 01/02/1989]',0.128,89.713,0.006,-0.669
'[03:59:39.604 01/02/1989]',0.128,91.689,0.003,-0.645
'[03:59:39.608 01/02/1989]',0.138,93.072,0.002,-0.645
'[03:59:39.612 01/02/1989]',0.138,95.048,0.001,-0.589
'[03:59:39.616 01/02/1989]',0.138,96.826,0.001,-0.597
'[03:59:39.620 01/02/1989]',0.140,99.593,-0.000,-0.581
'[03:59:39.624 01/02/1989]',0.152,102.754,-0.000,-0.540
'[03:59:39.628 01/02/1989]',0.166,105.126,-0.001,-0.524
'[03:59:39.632 01/02/1989]',0.176,107.695,-0.002,-0.516
'[03:59:39.636 01/02/1989]',0.184,111.647,-0.002,-0.516
'[03:59:39.640 01/02/1989]',0.194,114.018,-0.004,-0.548
'[03:59:39.644 01/02/1989]',0.184,117.970,-0.004,-0.556
'[03:59:39.648 01/02/1989]',0.176,120.736,-0.004,-0.556
'[03:59:39.652 01/02/1989]',0.198,124.293,-0.003,-0.516
'[03:59:39.656 01/02/1989]',0.200,127.455,-0.004,-0.444
'[03:59:39.660 01/02/1989]',0.212,130.419,-0.003,-0.565
'[03:59:39.664 01/02/1989]',0.222,133.383,-0.003,-0.500
'[03:59:39.668 01/02/1989]',0.216,136.150,-0.004,-0.419
'[03:59:39.672 01/02/1989]',0.216,137.335,-0.002,-0.444
'[03:59:39.676 01/02/1989]',0.206,139.311,-0.001,-0.484
'[03:59:39.680 01/02/1989]',0.200,140.695,0.000,-0.484
'[03:59:39.684 01/02/1989]',0.194,142.078,0.001,-0.516
'[03:59:39.688 01/02/1989]',0.198,142.868,0.002,-0.435
'[03:59:39.692 01/02/1989]',0.188,143.856,0.001,-0.452
'[03:59:39.696 01/02/1989]',0.176,144.054,0.002,-0.435
'[03:59:39.700 01/02/1989]',0.162,144.054,0.001,-0.452
'[03:59:39.704 01/02/1989]',0.128,143.659,0.001,-0.516
'[03:59:39.708 01/02/1989]',0.132,144.054,0.001,-0.484
'[03:59:39.712 01/02/1989]',0.104,142.473,0.000,-0.508
'[03:59:39.716 01/02/1989]',0.076,142.275,0.002,-0.435
'[03:59:39.720 01/02/1989]',0.062,141.683,0.002,-0.452
'[03:59:39.724 01/02/1989]',0.046,140.695,0.003,-0.444
'[03:59:39.728 01/02/1989]',0.026,139.706,0.002,-0.411
'[03:59:39.732 01/02/1989]',0.040,138.916,0.000,-0.411
'[03:59:39.736 01/02/1989]',0.016,138.126,-0.000,-0.427
'[03:59:39.740 01/02/1989]',0.008,136.940,-0.001,-0.452
'[03:59:39.744 01/02/1989]',0.004,135.952,-0.000,-0.452
'[03:59:39.748 01/02/1989]',-0.000,135.359,-0.001,-0.444
'[03:59:39.752 01/02/1989]',-0.000,133.778,-0.001,-0.476
'[03:59:39.756 01/02/1989]',-0.006,133.581,-0.001,-0.468
'[03:59:39.760 01/02/1989]',-0.004,132.395,-0.001,-0.492
'[03:59:39.764 01/02/1989]',-0.008,131.605,-0.002,-0.452
'[03:59:39.768 01/02/1989]',-0.002,130.617,-0.001,-0.476
'[03:59:39.772 01/02/1989]',-0.018,130.419,-0.001,-0.427
'[03:59:39.776 01/02/1989]',-0.008,129.826,-0.001,-0.419
'[03:59:39.780 01/02/1989]',-0.004,129.431,-0.001,-0.419
'[03:59:39.784 01/02/1989]',-0.010,128.048,-0.003,-0.419
'[03:59:39.788 01/02/1989]',-0.000,128.245,-0.001,-0.403
'[03:59:39.792 01/02/1989]',0.002,128.048,-0.003,-0.452
'[03:59:39.796 01/02/1989]',-0.004,127.060,-0.001,-0.427
'[03:59:39.800 01/02/1989]',0.006,126.665,-0.002,-0.419
'[03:59:39.804 01/02/1989]',0.014,126.072,-0.002,-0.411
'[03:59:39.808 01/02/1989]',0.016,125.874,-0.005,-0.419
'[03:59:39.812 01/02/1989]',0.008,125.677,-0.005,-0.419
'[03:59:39.816 01/02/1989]',0.034,124.886,-0.004,-0.403
'[03:59:39.820 01/02/1989]',-0.000,125.084,-0.004,-0.387
'[03:59:39.824 01/02/1989]',0.018,124.293,-0.002,-0.387
'[03:59:39.828 01/02/1989]',0.022,124.491,-0.003,-0.371
'[03:59:39.832 01/02/1989]',0.008,123.701,-0.003,-0.379
'[03:59:39.836 01/02/1989]',0.022,123.898,-0.003,-0.371
'[03:59:39.840 01/02/1989]',0.026,122.515,-0.002,-0.387
'[03:59:39.844 01/02/1989]',0.016,121.527,-0.000,-0.411
'[03:59:39.848 01/02/1989]',0.020,120.934,-0.000,-0.419
'[03:59:39.852 01/02/1989]',0.024,119.551,-0.000,-0.379
'[03:59:39.856 01/02/1989]',0.016,118.760,-0.000,-0.371
'[03:59:39.860 01/02/1989]',0.016,117.180,0.001,-0.395
'[03:59:39.864 01/02/1989]',0.040,116.192,-0.002,-0.371
'[03:59:39.868 01/02/1989]',0.020,115.204,-0.001,-0.355
'[03:59:39.872 01/02/1989]',0.014,114.018,-0.001,-0.323
'[03:59:39.876 01/02/1989]',0.036,112.437,-0.003,-0.339
'[03:59:39.880 01/02/1989]',0.022,111.251,-0.003,-0.347
'[03:59:39.884 01/02/1989]',0.032,110.263,-0.004,-0.347
'[03:59:39.888 01/02/1989]',0.024,109.275,-0.005,-0.331
'[03:59:39.892 01/02/1989]',0.026,108.090,-0.008,-0.371
'[03:59:39.896 01/02/1989]',0.032,106.707,-0.006,-0.363
'[03:59:39.900 01/02/1989]',0.024,105.916,-0.006,-0.371
'[03:59:39.904 01/02/1989]',0.024,104.730,-0.006,-0.371
'[03:59:39.908 01/02/1989]',0.032,104.533,-0.006,-0.363
'[03:59:39.912 01/02/1989]',0.032,103.742,-0.006,-0.355
'[03:59:39.916 01/02/1989]',0.022,103.150,-0.006,-0.355
'[03:59:39.920 01/02/1989]',0.028,102.952,-0.007,-0.339
'[03:59:39.924 01/02/1989]',0.020,103.940,-0.008,-0.323
'[03:59:39.928 01/02/1989]',0.024,102.952,-0.010,-0.355
'[03:59:39.932 01/02/1989]',0.020,102.952,-0.010,-0.315
'[03:59:39.936 01/02/1989]',0.024,99.988,-0.010,-0.331
'[03:59:39.940 01/02/1989]',0.018,104.138,-0.011,-0.339
'[03:59:39.944 01/02/1989]',0.016,104.928,-0.010,-0.395
'[03:59:39.948 01/02/1989]',0.044,103.742,-0.010,-0.387
'[03:59:39.952 01/02/1989]',0.032,104.335,-0.010,-0.371
'[03:59:39.956 01/02/1989]',0.074,104.335,-0.010,-0.363
'[03:59:39.960 01/02/1989]',-0.024,105.126,-0.010,-0.371
'[03:59:39.964 01/02/1989]',0.064,105.126,-0.011,-0.323
'[03:59:39.968 01/02/1989]',0.072,105.521,-0.012,-0.339
'[03:59:39.972 01/02/1989]',0.106,106.114,-0.010,-0.323
'[03:59:39.976 01/02/1989]',0.114,106.114,-0.012,-0.315
'[03:59:39.980 01/02/1989]',0.122,106.707,-0.011,-0.323
'[03:59:39.984 01/02/1989]',0.130,106.904,-0.009,-0.323
'[03:59:39.988 01/02/1989]',0.148,106.707,-0.010,-0.331
'[03:59:39.992 01/02/1989]',0.152,107.102,-0.011,-0.339
'[03:59:39.996 01/02/1989]',0.170,106.904,-0.010,-0.363
'[03:59:40.000 01/02/1989]',0.146,106.904,-0.008,-0.306
'[03:59:40.004 01/02/1989]',0.142,106.904,-0.008,-0.347
'[03:59:40.008 01/02/1989]',0.158,106.114,-0.009,-0.347
'[03:59:40.012 01/02/1989]',0.160,105.718,-0.008,-0.315
'[03:59:40.016 01/02/1989]',0.160,107.695,-0.007,-0.339
'[03:59:40.020 01/02/1989]',0.136,106.509,-0.007,-0.290
'[03:59:40.024 01/02/1989]',0.120,106.114,-0.006,-0.290
'[03:59:40.028 01/02/1989]',0.110,105.916,-0.006,-0.290
'[03:59:40.032 01/02/1989]',0.084,105.323,-0.006,-0.331
'[03:59:40.036 01/02/1989]',0.042,105.718,-0.007,-0.298
'[03:59:40.040 01/02/1989]',0.032,105.126,-0.006,-0.298
'[03:59:40.044 01/02/1989]',0.004,104.533,-0.006,-0.323
'[03:59:40.048 01/02/1989]',0.006,103.940,-0.007,-0.331
'[03:59:40.052 01/02/1989]',0.012,101.766,-0.007,-0.290
'[03:59:40.056 01/02/1989]',0.016,104.335,-0.007,-0.323
'[03:59:40.060 01/02/1989]',0.012,102.952,-0.007,-0.331
'[03:59:40.064 01/02/1989]',-0.020,102.952,-0.007,-0.290
'[03:59:40.068 01/02/1989]',-0.008,102.162,-0.007,-0.290
'[03:59:40.072 01/02/1989]',-0.026,101.766,-0.006,-0.274
'[03:59:40.076 01/02/1989]',-0.018,101.371,-0.008,-0.282
'[03:59:40.080 01/02/1989]',-0.024,100.976,-0.006,-0.266
'[03:59:40.084 01/02/1989]',0.004,99.988,-0.006,-0.266
'[03:59:40.088 01/02/1989]',-0.000,99.988,-0.004,-0.274
'[03:59:40.092 01/02/1989]',-0.006,99.790,-0.005,-0.306
'[03:59:40.096 01/02/1989]',0.024,98.210,-0.002,-0.315
'[03:59:40.100 01/02/1989]',-0.004,98.012,-0.000,-0.242
'[03:59:40.104 01/02/1989]',0.016,98.210,0.003,-0.355
'[03:59:40.108 01/02/1989]',0.008,98.012,0.004,-0.105
'[03:59:40.112 01/02/1989]',0.010,98.012,0.005,-0.298
'[03:59:40.116 01/02/1989]',0.014,97.221,0.007,-0.242
'[03:59:40.120 01/02/1989]',0.010,96.826,0.008,-0.234
'[03:59:40.124 01/02/1989]',0.028,96.431,0.009,-0.226
'[03:59:40.128 01/02/1989]',0.044,95.838,0.009,-0.234
'[03:59:40.132 01/02/1989]',0.032,95.838,0.008,-0.242
'[03:59:40.136 01/02/1989]',0.054,95.245,0.006,-0.242
'[03:59:40.140 01/02/1989]',0.050,95.048,0.004,-0.258
'[03:59:40.144 01/02/1989]',0.142,94.455,0.001,-0.226
'[03:59:40.148 01/02/1989]',0.232,94.455,-0.004,-0.250
'[03:59:40.152 01/02/1989]',0.448,94.257,-0.010,-0.266
'[03:59:40.156 01/02/1989]',0.656,94.060,-0.013,-0.282
'[03:59:40.160 01/02/1989]',0.578,93.862,-0.009,-0.194
'[03:59:40.164 01/02/1989]',0.462,93.072,-0.009,-0.218
'[03:59:40.168 01/02/1989]',0.188,92.677,-0.001,-0.185
'[03:59:40.172 01/02/1989]',-0.120,91.886,0.004,-0.153
'[03:59:40.176 01/02/1989]',-0.296,92.677,0.002,-0.218
'[03:59:40.180 01/02/1989]',-0.268,91.886,0.001,-0.218
'[03:59:40.184 01/02/1989]',-0.246,91.491,-0.000,-0.242
'[03:59:40.188 01/02/1989]',-0.100,91.293,-0.000,-0.202
'[03:59:40.192 01/02/1989]',0.010,90.305,-0.002,-0.242
'[03:59:40.196 01/02/1989]',0.040,92.281,-0.001,-0.242
'[03:59:40.200 01/02/1989]',0.064,90.898,0.001,-0.218
'[03:59:40.204 01/02/1989]',0.056,91.096,0.002,-0.202
'[03:59:40.208 01/02/1989]',0.064,90.503,0.004,-0.210
'[03:59:40.212 01/02/1989]',0.074,89.713,0.006,-0.194
'[03:59:40.216 01/02/1989]',0.072,89.910,0.006,-0.177
'[03:59:40.220 01/02/1989]',0.070,89.713,0.008,-0.145
'[03:59:40.224 01/02/1989]',0.070,89.713,0.010,-0.161
'[03:59:40.228 01/02/1989]',0.060,88.922,0.009,-0.177
'[03:59:40.232 01/02/1989]',0.080,88.922,0.010,-0.169
'[03:59:40.236 01/02/1989]',0.078,88.724,0.009,-0.177
'[03:59:40.240 01/02/1989]',0.070,87.934,0.008,-0.194
'[03:59:40.244 01/02/1989]',0.072,87.934,0.009,-0.210
'[03:59:40.248 01/02/1989]',0.092,87.934,0.009,-0.202
'[03:59:40.252 01/02/1989]',0.066,88.329,0.007,-0.218
'[03:59:40.256 01/02/1989]',0.088,88.132,0.008,-0.218
'[03:59:40.260 01/02/1989]',0.088,87.539,0.008,-0.210
'[03:59:40.264 01/02/1989]',0.108,87.341,0.006,-0.161
'[03:59:40.268 01/02/1989]',0.096,87.144,0.007,-0.153
'[03:59:40.272 01/02/1989]',0.092,87.144,0.006,-0.161
'[03:59:40.276 01/02/1989]',0.102,87.144,0.007,-0.161
'[03:59:40.280 01/02/1989]',0.088,86.748,0.007,-0.161
'[03:59:40.284 01/02/1989]',0.104,86.156,0.007,-0.194
'[03:59:40.288 01/02/1989]',0.118,86.353,0.007,-0.185
'[03:59:40.292 01/02/1989]',0.102,85.760,0.006,-0.194
'[03:59:40.296 01/02/1989]',0.122,85.563,0.007,-0.177
'[03:59:40.300 01/02/1989]',0.120,85.563,0.007,-0.218
'[03:59:40.304 01/02/1989]',0.110,85.563,0.006,-0.202
'[03:59:40.308 01/02/1989]',0.116,85.365,0.005,-0.185
'[03:59:40.312 01/02/1989]',0.120,85.168,0.005,-0.161
'[03:59:40.316 01/02/1989]',0.130,85.563,0.006,-0.177
'[03:59:40.320 01/02/1989]',0.108,85.760,0.005,-0.161
'[03:59:40.324 01/02/1989]',0.132,85.958,0.005,-0.153
'[03:59:40.328 01/02/1989]',0.124,85.958,0.004,-0.153
'[03:59:40.332 01/02/1989]',0.124,86.748,0.003,-0.153
'[03:59:40.336 01/02/1989]',0.132,87.539,0.001,-0.137
'[03:59:40.340 01/02/1989]',0.144,88.527,-0.000,-0.185
'[03:59:40.344 01/02/1989]',0.142,90.108,-0.000,-0.210
'[03:59:40.348 01/02/1989]',0.146,92.281,-0.002,-0.153
'[03:59:40.352 01/02/1989]',0.152,94.653,-0.003,-0.202
'[03:59:40.356 01/02/1989]',0.152,96.036,-0.003,-0.194
'[03:59:40.360 01/02/1989]',0.166,98.605,-0.004,-0.137
'[03:59:40.364 01/02/1989]',0.166,101.371,-0.005,-0.153
'[03:59:40.368 01/02/1989]',0.172,104.138,-0.005,-0.177
'[03:59:40.372 01/02/1989]',0.186,106.904,-0.003,-0.129
'[03:59:40.376 01/02/1989]',0.176,110.263,-0.003,-0.161
'[03:59:40.380 01/02/1989]',0.192,113.227,-0.001,-0.153
'[03:59:40.384 01/02/1989]',0.186,116.389,-0.000,-0.185
'[03:59:40.388 01/02/1989]',0.194,118.958,0.001,-0.161
'[03:59:40.392 01/02/1989]',0.192,122.120,0.001,-0.169
'[03:59:40.396 01/02/1989]',0.184,124.491,0.002,-0.194
'[03:59:40.400 01/02/1989]',0.200,126.862,0.003,-0.161
