sample interval	    ECG	     BP	(C4-A1)	p (sum)
           3563	  0.130	 54.419	 -0.019	  0.262
           3564	  0.140	 53.791	 -0.021	  0.278
           3565	  0.145	 54.000	 -0.021	  0.286
           3566	  0.135	 53.372	 -0.024	  0.296
           3567	  0.140	 52.953	 -0.025	  0.301
           3568	  0.135	 52.953	 -0.025	  0.312
           3569	  0.125	 52.326	 -0.025	  0.313
           3570	  0.125	 52.116	 -0.025	  0.314
           3571	  0.120	 52.116	 -0.025	  0.313
           3572	  0.100	 52.116	 -0.025	  0.306
           3573	  0.100	 51.907	 -0.029	  0.299
           3574	  0.095	 51.070	 -0.027	  0.303
           3575	  0.080	 51.279	 -0.026	  0.300
           3576	  0.080	 50.860	 -0.028	  0.313
           3577	  0.080	 50.860	 -0.028	  0.313
           3578	  0.060	 50.442	 -0.027	  0.319
           3579	  0.070	 49.814	 -0.024	  0.330
           3580	  0.070	 50.651	 -0.023	  0.336
           3581	  0.060	 49.814	 -0.020	  0.341
           3582	  0.075	 49.605	 -0.019	  0.338
           3583	  0.065	 49.395	 -0.017	  0.339
           3584	  0.070	 49.605	 -0.014	  0.333
           3585	  0.065	 48.767	 -0.010	  0.341
           3586	  0.075	 48.349	 -0.007	  0.329
           3587	  0.070	 48.140	 -0.006	  0.342
           3588	  0.070	 48.140	 -0.002	  0.336
           3589	  0.075	 47.930	  0.000	  0.351
           3590	  0.080	 47.930	  0.003	  0.349
           3591	  0.090	 47.930	  0.003	  0.365
           3592	  0.095	 47.093	 -0.000	  0.377
           3593	  0.080	 47.512	 -0.002	  0.388
           3594	  0.085	 47.093	 -0.005	  0.378
           3595	  0.080	 46.674	 -0.009	  0.394
           3596	  0.115	 46.674	 -0.009	  0.378
           3597	  0.140	 46.674	 -0.013	  0.381
           3598	  0.200	 46.256	 -0.015	  0.377
           3599	  0.310	 46.046	 -0.014	  0.380
           3600	  0.460	 45.628	 -0.009	  0.380
           3601	  0.640	 46.046	 -0.006	  0.388
           3602	  0.820	 45.837	 -0.007	  0.404
           3603	  0.895	 45.000	 -0.009	  0.413
           3604	  0.780	 45.000	 -0.019	  0.423
           3605	  0.510	 45.209	 -0.033	  0.428
           3606	  0.155	 45.000	 -0.046	  0.428
           3607	 -0.160	 44.581	 -0.052	  0.429
           3608	 -0.280	 44.581	 -0.059	  0.423
           3609	 -0.290	 44.581	 -0.055	  0.417
           3610	 -0.205	 44.372	 -0.049	  0.429
           3611	 -0.095	 44.372	 -0.042	  0.423
           3612	 -0.030	 44.372	 -0.038	  0.432
           3613	 -0.005	 43.953	 -0.029	  0.429
           3614	  0.030	 43.953	 -0.021	  0.442
           3615	  0.045	 43.326	 -0.014	  0.446
           3616	  0.065	 43.535	 -0.008	  0.461
           3617	  0.080	 43.326	 -0.005	  0.465
           3618	  0.090	 42.907	 -0.002	  0.481
           3619	  0.085	 43.535	 -0.000	  0.475
           3620	  0.085	 42.907	 -0.001	  0.477
           3621	  0.080	 42.698	 -0.000	  0.465
           3622	  0.075	 42.907	 -0.000	  0.474
           3623	  0.080	 42.488	 -0.006	  0.477
           3624	  0.095	 42.907	 -0.007	  0.478
           3625	  0.100	 42.488	 -0.009	  0.475
           3626	  0.100	 42.907	 -0.015	  0.477
           3627	  0.100	 42.698	 -0.022	  0.494
           3628	  0.100	 42.070	 -0.024	  0.504
           3629	  0.100	 42.907	 -0.028	  0.504
           3630	  0.100	 42.488	 -0.032	  0.517
           3631	  0.100	 42.698	 -0.033	  0.510
           3632	  0.100	 42.279	 -0.035	  0.513
           3633	  0.100	 42.279	 -0.039	  0.510
           3634	  0.110	 42.070	 -0.038	  0.512
           3635	  0.110	 42.279	 -0.038	  0.513
           3636	  0.110	 42.070	 -0.038	  0.516
           3637	  0.110	 42.698	 -0.040	  0.514
           3638	  0.115	 42.070	 -0.038	  0.522
           3639	  0.115	 42.070	 -0.033	  0.538
           3640	  0.130	 41.651	 -0.031	  0.533
           3641	  0.120	 42.279	 -0.027	  0.555
           3642	  0.135	 41.860	 -0.023	  0.561
           3643	  0.130	 42.070	 -0.019	  0.577
           3644	  0.135	 41.651	 -0.015	  0.572
           3645	  0.140	 41.233	 -0.008	  0.577
           3646	  0.145	 41.233	 -0.003	  0.565
           3647	  0.160	 41.233	  0.004	  0.561
           3648	  0.160	 41.442	  0.010	  0.557
           3649	  0.160	 41.233	  0.017	  0.562
           3650	  0.160	 41.651	  0.026	  0.571
           3651	  0.160	 42.279	  0.027	  0.583
           3652	  0.160	 43.535	  0.030	  0.586
           3653	  0.165	 44.372	  0.033	  0.597
           3654	  0.180	 46.046	  0.035	  0.610
           3655	  0.185	 48.349	  0.035	  0.619
           3656	  0.180	 50.442	  0.035	  0.614
           3657	  0.200	 52.744	  0.035	  0.597
           3658	  0.195	 55.465	  0.029	  0.600
           3659	  0.200	 57.977	  0.025	  0.594
           3660	  0.200	 60.488	  0.022	  0.607
           3661	  0.210	 62.791	  0.016	  0.606
           3662	  0.200	 65.512	  0.010	  0.622
           3663	  0.210	 68.860	  0.007	  0.619
           3664	  0.205	 71.372	  0.004	  0.623
           3665	  0.220	 74.093	  0.001	  0.632
           3666	  0.230	 77.233	 -0.003	  0.658
           3667	  0.220	 79.744	 -0.007	  0.642
           3668	  0.230	 82.256	 -0.010	  0.665
           3669	  0.210	 84.349	 -0.012	  0.635
           3670	  0.215	 86.233	 -0.010	  0.655
           3671	  0.200	 88.535	 -0.008	  0.630
           3672	  0.215	 90.419	 -0.006	  0.639
           3673	  0.205	 91.674	 -0.005	  0.639
           3674	  0.195	 93.139	  0.001	  0.639
           3675	  0.190	 93.977	  0.007	  0.655
           3676	  0.180	 95.442	  0.008	  0.668
           3677	  0.160	 96.279	  0.009	  0.662
           3678	  0.145	 96.698	  0.014	  0.672
           3679	  0.140	 96.907	  0.013	  0.678
           3680	  0.140	 97.953	  0.012	  0.672
           3681	  0.120	 97.744	  0.012	  0.667
           3682	  0.105	 98.163	  0.008	  0.658
           3683	  0.100	 97.744	  0.003	  0.667
           3684	  0.075	 97.326	 -0.001	  0.658
           3685	  0.060	 97.326	 -0.005	  0.671
           3686	  0.050	 96.279	 -0.010	  0.672
           3687	  0.040	 95.442	 -0.016	  0.696
           3688	  0.045	 93.977	 -0.019	  0.693
           3689	  0.015	 93.558	 -0.022	  0.701
           3690	  0.020	 92.302	 -0.024	  0.706
           3691	  0.005	 90.628	 -0.025	  0.726
           3692	  0.020	 89.581	 -0.027	  0.712
           3693	  0.005	 87.698	 -0.027	  0.722
           3694	  0.010	 87.070	 -0.027	  0.714
           3695	  0.015	 85.605	 -0.026	  0.710
           3696	 -0.000	 84.139	 -0.023	  0.712
           3697	 -0.000	 83.512	 -0.023	  0.713
           3698	  0.005	 81.628	 -0.022	  0.713
           3699	 -0.000	 80.581	 -0.019	  0.725
           3700	  0.005	 79.326	 -0.017	  0.739
           3701	 -0.000	 78.488	 -0.018	  0.742
           3702	  0.025	 77.233	 -0.017	  0.754
           3703	  0.015	 75.767	 -0.013	  0.757
           3704	  0.015	 75.139	 -0.011	  0.764
           3705	  0.010	 74.512	 -0.010	  0.759
           3706	  0.015	 73.674	 -0.006	  0.764
           3707	  0.015	 72.837	 -0.007	  0.752
           3708	  0.015	 71.791	 -0.010	  0.755
           3709	  0.025	 71.372	 -0.012	  0.748
           3710	  0.020	 70.116	 -0.014	  0.764
           3711	  0.035	 69.698	 -0.020	  0.755
           3712	  0.015	 68.860	 -0.027	  0.771
           3713	  0.040	 68.442	 -0.030	  0.767
           3714	  0.015	 67.605	 -0.033	  0.778
           3715	  0.035	 66.767	 -0.036	  0.775
           3716	  0.020	 66.140	 -0.039	  0.783
           3717	  0.015	 65.093	 -0.039	  0.765
           3718	  0.050	 64.674	 -0.041	  0.771
           3719	  0.040	 63.837	 -0.039	  0.758
           3720	  0.045	 63.000	 -0.038	  0.762
           3721	  0.035	 62.372	 -0.036	  0.755
           3722	  0.050	 62.163	 -0.035	  0.755
           3723	  0.055	 61.535	 -0.034	  0.755
           3724	  0.050	 60.488	 -0.032	  0.761
           3725	  0.045	 60.488	 -0.027	  0.770
           3726	  0.055	 59.651	 -0.029	  0.783
           3727	  0.040	 59.233	 -0.029	  0.793
           3728	  0.035	 58.814	 -0.028	  0.793
           3729	  0.050	 58.186	 -0.028	  0.788
           3730	  0.055	 58.186	 -0.026	  0.794
           3731	  0.040	 57.349	 -0.025	  0.793
           3732	  0.030	 57.140	 -0.025	  0.783
           3733	  0.045	 56.302	 -0.027	  0.778
           3734	  0.050	 56.512	 -0.030	  0.781
           3735	  0.030	 56.302	 -0.031	  0.799
           3736	  0.050	 55.884	 -0.038	  0.794
           3737	  0.040	 56.302	 -0.045	  0.803
           3738	  0.060	 55.884	 -0.052	  0.812
           3739	  0.050	 55.674	 -0.054	  0.814
           3740	  0.060	 55.256	 -0.058	  0.825
           3741	  0.040	 55.465	 -0.059	  0.832
           3742	  0.055	 55.465	 -0.059	  0.829
           3743	  0.060	 55.465	 -0.058	  0.835
           3744	  0.045	 55.256	 -0.056	  0.822
           3745	  0.050	 55.465	 -0.057	  0.826
           3746	  0.040	 55.884	 -0.056	  0.812
           3747	  0.060	 56.302	 -0.058	  0.832
           3748	  0.045	 56.093	 -0.061	  0.829
           3749	  0.060	 56.093	 -0.062	  0.845
           3750	  0.065	 55.884	 -0.062	  0.851
           3751	  0.060	 56.302	 -0.065	  0.852
           3752	  0.050	 56.721	 -0.068	  0.858
           3753	  0.060	 56.721	 -0.069	  0.868
           3754	  0.055	 57.140	 -0.070	  0.859
           3755	  0.075	 57.349	 -0.070	  0.858
           3756	  0.080	 57.349	 -0.068	  0.864
           3757	  0.070	 57.767	 -0.068	  0.854
           3758	  0.065	 57.767	 -0.068	  0.864
           3759	  0.065	 57.977	 -0.066	  0.855
           3760	  0.060	 57.977	 -0.061	  0.867
           3761	  0.070	 57.977	 -0.059	  0.862
           3762	  0.080	 58.395	 -0.057	  0.878
           3763	  0.075	 58.186	 -0.054	  0.875
           3764	  0.080	 58.814	 -0.046	  0.891
           3765	  0.060	 58.395	 -0.044	  0.893
           3766	  0.065	 58.605	 -0.041	  0.900
           3767	  0.090	 58.605	 -0.039	  0.891
           3768	  0.070	 58.605	 -0.037	  0.901
           3769	  0.090	 59.023	 -0.036	  0.887
           3770	  0.100	 59.023	 -0.035	  0.888
           3771	  0.080	 58.814	 -0.037	  0.888
           3772	  0.090	 59.233	 -0.040	  0.893
           3773	  0.075	 59.442	 -0.046	  0.896
           3774	  0.080	 58.814	 -0.049	  0.912
           3775	  0.080	 59.442	 -0.050	  0.923
           3776	  0.075	 59.651	 -0.053	  0.926
           3777	  0.075	 59.651	 -0.055	  0.930
           3778	  0.080	 58.605	 -0.053	  0.935
           3779	  0.080	 59.023	 -0.051	  0.928
           3780	  0.080	 59.233	 -0.049	  0.926
           3781	  0.085	 59.023	 -0.048	  0.916
           3782	  0.080	 59.023	 -0.046	  0.916
           3783	  0.080	 58.605	 -0.047	  0.925
           3784	  0.090	 58.395	 -0.042	  0.922
           3785	  0.075	 58.186	 -0.039	  0.939
           3786	  0.090	 57.767	 -0.038	  0.939
           3787	  0.080	 57.977	 -0.037	  0.957
           3788	  0.095	 57.977	 -0.037	  0.955
           3789	  0.100	 57.349	 -0.036	  0.964
           3790	  0.100	 57.140	 -0.035	  0.967
           3791	  0.100	 57.140	 -0.035	  0.977
           3792	  0.100	 56.930	 -0.036	  0.962
           3793	  0.105	 57.140	 -0.038	  0.967
           3794	  0.100	 56.302	 -0.038	  0.959
           3795	  0.110	 56.302	 -0.040	  0.967
           3796	  0.120	 55.674	 -0.036	  0.957
           3797	  0.130	 55.465	 -0.037	  0.967
           3798	  0.130	 55.674	 -0.034	  0.983
           3799	  0.130	 55.465	 -0.032	  0.997
           3800	  0.140	 55.046	 -0.028	  0.997
           3801	  0.125	 54.837	 -0.028	  1.007
           3802	  0.120	 54.837	 -0.030	  1.003
           3803	  0.120	 54.209	 -0.028	  1.007
           3804	  0.120	 53.791	 -0.030	  1.001
           3805	  0.105	 53.791	 -0.037	  0.991
           3806	  0.105	 53.791	 -0.038	  1.000
           3807	  0.085	 53.163	 -0.044	  0.990
           3808	  0.085	 53.163	 -0.049	  0.997
           3809	  0.095	 52.953	 -0.052	  0.996
           3810	  0.090	 52.535	 -0.050	  1.012
           3811	  0.095	 52.116	 -0.052	  1.010
           3812	  0.085	 52.116	 -0.052	  1.017
           3813	  0.075	 52.116	 -0.051	  1.025
           3814	  0.060	 51.907	 -0.046	  1.033
           3815	  0.065	 51.279	 -0.043	  1.025
           3816	  0.075	 51.070	 -0.041	  1.032
           3817	  0.075	 51.070	 -0.039	  1.020
           3818	  0.080	 50.442	 -0.038	  1.023
           3819	  0.080	 50.442	 -0.037	  1.017
           3820	  0.070	 50.023	 -0.036	  1.020
           3821	  0.080	 49.814	 -0.035	  1.014
           3822	  0.080	 49.605	 -0.036	  1.022
           3823	  0.075	 49.605	 -0.039	  1.030
           3824	  0.080	 48.767	 -0.040	  1.038
           3825	  0.095	 48.767	 -0.038	  1.045
           3826	  0.080	 48.977	 -0.045	  1.052
           3827	  0.090	 48.977	 -0.049	  1.046
           3828	  0.080	 48.558	 -0.050	  1.046
           3829	  0.090	 48.140	 -0.053	  1.035
           3830	  0.110	 48.558	 -0.057	  1.032
           3831	  0.140	 47.930	 -0.057	  1.036
           3832	  0.205	 47.721	 -0.057	  1.025
           3833	  0.325	 47.512	 -0.051	  1.035
           3834	  0.475	 47.302	 -0.043	  1.043
           3835	  0.665	 47.093	 -0.031	  1.049
           3836	  0.825	 46.884	 -0.025	  1.048
           3837	  0.900	 46.465	 -0.026	  1.068
           3838	  0.720	 46.884	 -0.032	  1.062
           3839	  0.450	 46.884	 -0.040	  1.071
           3840	  0.110	 46.674	 -0.048	  1.055
           3841	 -0.190	 46.465	 -0.053	  1.067
           3842	 -0.285	 46.256	 -0.053	  1.049
           3843	 -0.270	 46.256	 -0.050	  1.057
           3844	 -0.160	 46.046	 -0.049	  1.043
           3845	 -0.080	 45.628	 -0.047	  1.048
           3846	 -0.025	 45.837	 -0.046	  1.055
           3847	  0.010	 45.419	 -0.043	  1.061
           3848	  0.030	 45.419	 -0.043	  1.065
           3849	  0.060	 45.419	 -0.039	  1.078
           3850	  0.080	 45.000	 -0.036	  1.078
           3851	  0.085	 45.419	 -0.037	  1.086
           3852	  0.080	 45.209	 -0.040	  1.078
           3853	  0.085	 44.581	 -0.038	  1.074
           3854	  0.070	 44.163	 -0.039	  1.062
           3855	  0.070	 44.791	 -0.038	  1.057
           3856	  0.075	 45.000	 -0.035	  1.061
           3857	  0.090	 44.581	 -0.036	  1.049
           3858	  0.075	 44.581	 -0.037	  1.061
           3859	  0.085	 44.372	 -0.036	  1.061
           3860	  0.080	 44.372	 -0.036	  1.067
           3861	  0.090	 43.953	 -0.035	  1.070
           3862	  0.100	 44.372	 -0.036	  1.074
           3863	  0.095	 43.953	 -0.035	  1.075
           3864	  0.095	 43.744	 -0.032	  1.072
           3865	  0.090	 43.953	 -0.031	  1.062
           3866	  0.105	 43.744	 -0.027	  1.070
           3867	  0.105	 43.953	 -0.025	  1.046
           3868	  0.115	 43.744	 -0.023	  1.055
           3869	  0.110	 43.953	 -0.023	  1.043
           3870	  0.110	 43.744	 -0.026	  1.049
           3871	  0.105	 43.535	 -0.026	  1.043
           3872	  0.120	 43.744	 -0.028	  1.051
           3873	  0.120	 43.744	 -0.031	  1.045
           3874	  0.115	 43.326	 -0.030	  1.058
           3875	  0.115	 43.535	 -0.032	  1.052
           3876	  0.125	 43.535	 -0.035	  1.055
           3877	  0.120	 43.326	 -0.037	  1.035
           3878	  0.135	 42.907	 -0.034	  1.030
           3879	  0.140	 42.488	 -0.032	  1.026
           3880	  0.140	 42.907	 -0.031	  1.013
           3881	  0.135	 43.535	 -0.029	  1.006
           3882	  0.140	 43.326	 -0.029	  0.999
           3883	  0.145	 43.744	 -0.030	  1.009
           3884	  0.155	 43.953	 -0.029	  0.997
           3885	  0.145	 45.209	 -0.026	  0.999
           3886	  0.160	 46.256	 -0.026	  0.993
           3887	  0.160	 48.140	 -0.028	  0.997
           3888	  0.160	 50.442	 -0.026	  0.984
           3889	  0.160	 52.326	 -0.024	  0.984
           3890	  0.160	 54.628	 -0.022	  0.970
           3891	  0.180	 56.721	 -0.021	  0.967
           3892	  0.175	 59.233	 -0.021	  0.954
           3893	  0.185	 62.163	 -0.019	  0.946
           3894	  0.190	 64.884	 -0.016	  0.936
           3895	  0.195	 68.023	 -0.015	  0.939
           3896	  0.200	 70.535	 -0.014	  0.936
           3897	  0.205	 73.674	 -0.015	  0.939
           3898	  0.195	 76.814	 -0.016	  0.933
           3899	  0.205	 79.326	 -0.016	  0.936
           3900	  0.215	 81.837	 -0.014	  0.929
           3901	  0.215	 84.558	 -0.015	  0.930
           3902	  0.200	 86.860	 -0.016	  0.914
           3903	  0.200	 88.953	 -0.014	  0.901
           3904	  0.205	 91.046	 -0.013	  0.883
           3905	  0.215	 92.930	 -0.014	  0.884
           3906	  0.210	 94.814	 -0.012	  0.884
           3907	  0.195	 96.070	 -0.011	  0.868
           3908	  0.185	 97.326	 -0.013	  0.884
           3909	  0.190	 99.000	 -0.012	  0.872
           3910	  0.175	 99.837	 -0.007	  0.872
           3911	  0.180	100.465	 -0.007	  0.875
           3912	  0.150	101.512	 -0.006	  0.874
           3913	  0.125	101.930	 -0.005	  0.854
           3914	  0.130	102.767	 -0.005	  0.855
           3915	  0.110	102.977	 -0.003	  0.830
           3916	  0.095	102.558	 -0.003	  0.830
           3917	  0.090	102.349	 -0.002	  0.807
           3918	  0.080	101.930	 -0.000	  0.813
           3919	  0.055	101.093	 -0.001	  0.797
           3920	  0.040	100.256	 -0.001	  0.794
           3921	  0.040	 99.000	 -0.002	  0.801
           3922	  0.020	 98.163	 -0.004	  0.793
           3923	  0.035	 96.488	 -0.010	  0.788
           3924	  0.015	 95.651	 -0.012	  0.800
           3925	 -0.000	 94.395	 -0.011	  0.778
           3926	  0.005	 93.767	 -0.015	  0.762
           3927	 -0.000	 92.302	 -0.016	  0.745
           3928	 -0.000	 90.628	 -0.016	  0.726
           3929	  0.010	 89.581	 -0.013	  0.723
           3930	 -0.000	 88.326	 -0.014	  0.723
           3931	 -0.000	 87.488	 -0.012	  0.712
           3932	  0.010	 86.023	 -0.010	  0.700
           3933	 -0.000	 85.395	 -0.012	  0.713
           3934	  0.010	 84.349	 -0.011	  0.696
           3935	 -0.000	 83.093	 -0.007	  0.713
           3936	  0.010	 81.628	 -0.006	  0.688
           3937	  0.005	 81.000	 -0.006	  0.704
           3938	  0.020	 79.953	 -0.007	  0.667
           3939	 -0.005	 79.744	 -0.004	  0.670
           3940	  0.020	 78.488	 -0.006	  0.649
           3941	  0.020	 77.442	 -0.008	  0.638
           3942	  0.005	 76.605	 -0.007	  0.614
           3943	  0.010	 76.186	 -0.007	  0.614
           3944	  0.020	 75.977	 -0.005	  0.613
           3945	  0.005	 75.139	 -0.006	  0.591
           3946	  0.035	 73.884	 -0.007	  0.603
           3947	  0.020	 73.465	 -0.009	  0.590
           3948	  0.045	 72.837	 -0.012	  0.597
           3949	  0.020	 72.209	 -0.013	  0.583
           3950	  0.055	 71.163	 -0.009	  0.562
           3951	  0.060	 71.163	 -0.011	  0.555
           3952	  0.045	 69.907	 -0.010	  0.538
           3953	  0.045	 69.488	 -0.006	  0.512
           3954	  0.045	 68.860	 -0.004	  0.506
           3955	  0.025	 68.651	 -0.004	  0.503
           3956	  0.050	 67.605	 -0.005	  0.491
           3957	  0.040	 66.977	 -0.007	  0.491
           3958	  0.040	 66.140	 -0.010	  0.487
           3959	  0.040	 65.930	 -0.011	  0.483
           3960	  0.055	 65.093	 -0.011	  0.487
           3961	  0.055	 64.465	 -0.012	  0.468
           3962	  0.035	 63.419	 -0.016	  0.472
           3963	  0.050	 63.209	 -0.018	  0.458
           3964	  0.055	 63.000	 -0.020	  0.446
           3965	  0.045	 62.163	 -0.023	  0.423
           3966	  0.040	 61.953	 -0.027	  0.409
           3967	  0.045	 61.535	 -0.030	  0.394
           3968	  0.055	 61.116	 -0.031	  0.404
           3969	  0.040	 61.116	 -0.033	  0.380
           3970	  0.050	 60.488	 -0.035	  0.388
           3971	  0.040	 60.279	 -0.034	  0.377
           3972	  0.060	 60.279	 -0.035	  0.378
           3973	  0.065	 60.070	 -0.035	  0.371
           3974	  0.040	 59.651	 -0.032	  0.361
           3975	  0.060	 59.651	 -0.027	  0.348
           3976	  0.060	 59.860	 -0.028	  0.342
           3977	  0.060	 59.442	 -0.026	  0.320
           3978	  0.080	 59.442	 -0.026	  0.304
           3979	  0.060	 59.651	 -0.023	  0.303
           3980	  0.060	 59.651	 -0.022	  0.291
           3981	  0.060	 60.070	 -0.018	  0.286
           3982	  0.040	 60.279	 -0.016	  0.281
           3983	  0.060	 60.279	 -0.015	  0.284
           3984	  0.060	 60.488	 -0.013	  0.278
           3985	  0.070	 60.488	 -0.010	  0.280
           3986	  0.060	 60.698	 -0.010	  0.261
           3987	  0.060	 61.326	 -0.012	  0.267
           3988	  0.075	 61.535	 -0.009	  0.243
           3989	  0.075	 61.326	 -0.008	  0.238
           3990	  0.075	 61.535	 -0.010	  0.214
           3991	  0.065	 62.163	 -0.011	  0.212
           3992	  0.070	 62.163	 -0.012	  0.190
           3993	  0.075	 62.372	 -0.013	  0.196
           3994	  0.060	 62.372	 -0.015	  0.187
           3995	  0.080	 62.163	 -0.016	  0.183
           3996	  0.080	 62.372	 -0.019	  0.186
           3997	  0.075	 63.000	 -0.021	  0.183
           3998	  0.080	 62.791	 -0.025	  0.170
           3999	  0.080	 62.791	 -0.025	  0.167
           4000	  0.065	 63.000	 -0.021	  0.148
           4001	  0.070	 63.419	 -0.023	  0.138
           4002	  0.080	 63.628	 -0.023	  0.125
           4003	  0.090	 63.000	 -0.020	  0.112
           4004	  0.080	 63.419	 -0.018	  0.110
           4005	  0.080	 63.837	 -0.016	  0.101
           4006	  0.075	 63.628	 -0.011	  0.103
           4007	  0.090	 63.209	 -0.010	  0.097
           4008	  0.080	 63.209	 -0.010	  0.099
           4009	  0.070	 63.628	 -0.007	  0.094
           4010	  0.070	 63.000	 -0.005	  0.087
           4011	  0.080	 63.000	 -0.004	  0.077
           4012	  0.080	 63.000	 -0.003	  0.075
           4013	  0.070	 63.000	 -0.002	  0.052
           4014	  0.085	 63.000	  0.002	  0.051
           4015	  0.080	 62.581	  0.005	  0.032
           4016	  0.080	 62.581	  0.005	  0.029
           4017	  0.080	 62.163	  0.006	  0.020
           4018	  0.100	 62.163	  0.004	  0.022
           4019	  0.080	 61.953	 -0.000	  0.017
           4020	  0.080	 61.535	 -0.005	  0.017
           4021	  0.085	 61.535	 -0.008	  0.013
           4022	  0.080	 61.535	 -0.017	  0.014
           4023	  0.080	 61.116	 -0.022	 -0.000
           4024	  0.080	 60.488	 -0.029	 -0.004
           4025	  0.105	 60.070	 -0.030	 -0.019
           4026	  0.105	 60.488	 -0.034	 -0.035
           4027	  0.100	 60.488	 -0.037	 -0.046
           4028	  0.110	 59.860	 -0.036	 -0.057
           4029	  0.100	 59.651	 -0.035	 -0.064
           4030	  0.120	 59.442	 -0.033	 -0.068
           4031	  0.120	 58.814	 -0.030	 -0.055
           4032	  0.130	 58.814	 -0.026	 -0.058
           4033	  0.130	 58.186	 -0.026	 -0.054
           4034	  0.140	 58.186	 -0.021	 -0.058
           4035	  0.135	 57.977	 -0.017	 -0.058
           4036	  0.145	 57.977	 -0.013	 -0.074
           4037	  0.125	 57.140	 -0.015	 -0.081
           4038	  0.130	 57.140	 -0.014	 -0.109
           4039	  0.120	 56.721	 -0.013	 -0.106
           4040	  0.125	 56.930	 -0.012	 -0.122
           4041	  0.095	 56.302	 -0.012	 -0.128
           4042	  0.105	 55.674	 -0.011	 -0.130
           4043	  0.095	 55.884	 -0.010	 -0.129
           4044	  0.100	 55.674	 -0.012	 -0.129
           4045	  0.095	 55.046	 -0.014	 -0.117
           4046	  0.085	 54.628	 -0.017	 -0.128
           4047	  0.085	 54.419	 -0.020	 -0.125
           4048	  0.070	 54.000	 -0.023	 -0.143
           4049	  0.075	 53.791	 -0.023	 -0.146
           4050	  0.075	 53.581	 -0.023	 -0.162
           4051	  0.075	 53.581	 -0.027	 -0.175
           4052	  0.070	 52.744	 -0.030	 -0.180
           4053	  0.080	 52.116	 -0.028	 -0.186
           4054	  0.070	 52.953	 -0.029	 -0.191
           4055	  0.080	 52.744	 -0.027	 -0.197
           4056	  0.080	 52.116	 -0.024	 -0.193
           4057	  0.080	 51.698	 -0.022	 -0.197
           4058	  0.085	 51.488	 -0.023	 -0.186
           4059	  0.080	 51.698	 -0.022	 -0.191
           4060	  0.090	 51.070	 -0.020	 -0.191
           4061	  0.090	 50.651	 -0.022	 -0.214
           4062	  0.075	 50.442	 -0.023	 -0.216
           4063	  0.085	 50.442	 -0.024	 -0.238
           4064	  0.080	 50.442	 -0.023	 -0.242
           4065	  0.100	 50.442	 -0.022	 -0.248
           4066	  0.135	 50.442	 -0.023	 -0.255
           4067	  0.160	 49.814	 -0.023	 -0.271
           4068	  0.230	 49.814	 -0.019	 -0.258
           4069	  0.355	 50.023	 -0.011	 -0.255
           4070	  0.555	 49.605	 -0.003	 -0.254
           4071	  0.765	 48.767	  0.007	 -0.252
           4072	  0.920	 49.395	  0.011	 -0.248
           4073	  0.955	 49.186	  0.005	 -0.259
           4074	  0.720	 48.349	 -0.004	 -0.275
           4075	  0.365	 48.767	 -0.015	 -0.278
           4076	 -0.015	 48.767	 -0.030	 -0.290
           4077	 -0.240	 48.349	 -0.039	 -0.294
           4078	 -0.330	 48.140	 -0.038	 -0.303
           4079	 -0.260	 47.930	 -0.037	 -0.304
           4080	 -0.160	 47.930	 -0.034	 -0.309
           4081	 -0.070	 47.930	 -0.032	 -0.304
           4082	 -0.035	 47.930	 -0.030	 -0.303
           4083	  0.015	 47.721	 -0.030	 -0.300
           4084	  0.050	 47.512	 -0.029	 -0.303
           4085	  0.065	 47.093	 -0.024	 -0.313
           4086	  0.080	 47.721	 -0.024	 -0.332
           4087	  0.070	 47.512	 -0.022	 -0.329
           4088	  0.060	 47.093	 -0.020	 -0.343
           4089	  0.070	 47.093	 -0.016	 -0.348
           4090	  0.070	 46.884	 -0.015	 -0.352
           4091	  0.075	 47.093	 -0.015	 -0.359
           4092	  0.080	 46.884	 -0.014	 -0.355
           4093	  0.085	 47.093	 -0.012	 -0.357
           4094	  0.080	 47.093	 -0.012	 -0.354
           4095	  0.090	 46.465	 -0.009	 -0.359
           4096	  0.085	 46.884	 -0.011	 -0.365
           4097	  0.095	 46.674	 -0.012	 -0.357
           4098	  0.100	 46.465	 -0.017	 -0.383
           4099	  0.080	 46.465	 -0.019	 -0.387
           4100	  0.090	 46.256	 -0.018	 -0.394
           4101	  0.100	 46.256	 -0.021	 -0.406
           4102	  0.090	 46.046	 -0.024	 -0.412
           4103	  0.100	 45.419	 -0.023	 -0.413
           4104	  0.105	 45.837	 -0.024	 -0.414
           4105	  0.105	 46.256	 -0.026	 -0.417
           4106	  0.110	 45.628	 -0.026	 -0.410
           4107	  0.120	 45.628	 -0.027	 -0.400
           4108	  0.115	 45.628	 -0.030	 -0.397
           4109	  0.110	 45.837	 -0.031	 -0.403
           4110	  0.130	 45.419	 -0.028	 -0.401
           4111	  0.125	 45.419	 -0.027	 -0.414
           4112	  0.135	 45.209	 -0.026	 -0.428
           4113	  0.125	 45.000	 -0.024	 -0.438
           4114	  0.140	 45.000	 -0.019	 -0.432
           4115	  0.130	 45.419	 -0.018	 -0.448
           4116	  0.140	 45.419	 -0.017	 -0.433
           4117	  0.135	 45.628	 -0.016	 -0.448
