'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:12:18.724 09/02/1989]',0.006,81.246,-0.006,-0.166
'[23:12:18.728 09/02/1989]',-0.000,81.705,-0.006,-0.159
'[23:12:18.732 09/02/1989]',-0.000,82.623,-0.006,-0.164
'[23:12:18.736 09/02/1989]',-0.000,82.853,-0.008,-0.162
'[23:12:18.740 09/02/1989]',0.002,84.459,-0.005,-0.162
'[23:12:18.744 09/02/1989]',0.016,86.754,-0.005,-0.154
'[23:12:18.748 09/02/1989]',0.032,89.967,-0.005,-0.154
'[23:12:18.752 09/02/1989]',0.040,92.721,-0.004,-0.154
'[23:12:18.756 09/02/1989]',0.030,97.082,-0.003,-0.152
'[23:12:18.760 09/02/1989]',0.038,101.902,-0.004,-0.150
'[23:12:18.764 09/02/1989]',0.042,105.574,-0.005,-0.145
'[23:12:18.768 09/02/1989]',0.044,110.394,-0.006,-0.140
'[23:12:18.772 09/02/1989]',0.040,116.131,-0.008,-0.138
'[23:12:18.776 09/02/1989]',0.062,121.869,-0.009,-0.128
'[23:12:18.780 09/02/1989]',0.056,127.377,-0.008,-0.131
'[23:12:18.784 09/02/1989]',0.074,133.115,-0.009,-0.128
'[23:12:18.788 09/02/1989]',0.076,138.623,-0.007,-0.133
'[23:12:18.792 09/02/1989]',0.082,144.131,-0.006,-0.131
'[23:12:18.796 09/02/1989]',0.078,149.410,-0.005,-0.124
'[23:12:18.800 09/02/1989]',0.092,154.000,-0.003,-0.131
'[23:12:18.804 09/02/1989]',0.090,158.590,-0.003,-0.133
'[23:12:18.808 09/02/1989]',0.104,162.492,-0.001,-0.128
'[23:12:18.812 09/02/1989]',0.096,165.935,0.002,-0.143
'[23:12:18.816 09/02/1989]',0.110,168.918,0.003,-0.145
'[23:12:18.820 09/02/1989]',0.088,170.984,0.005,-0.143
'[23:12:18.824 09/02/1989]',0.098,172.131,0.004,-0.140
'[23:12:18.828 09/02/1989]',0.086,173.049,0.009,-0.147
'[23:12:18.832 09/02/1989]',0.086,172.590,0.011,-0.152
'[23:12:18.836 09/02/1989]',0.084,172.590,0.013,-0.150
'[23:12:18.840 09/02/1989]',0.078,171.443,0.014,-0.150
'[23:12:18.844 09/02/1989]',0.066,170.295,0.017,-0.145
'[23:12:18.848 09/02/1989]',0.074,168.918,0.020,-0.147
'[23:12:18.852 09/02/1989]',0.072,167.082,0.022,-0.152
'[23:12:18.856 09/02/1989]',0.084,164.787,0.026,-0.152
'[23:12:18.860 09/02/1989]',0.090,163.180,0.026,-0.147
'[23:12:18.864 09/02/1989]',0.096,161.803,0.029,-0.145
'[23:12:18.868 09/02/1989]',0.106,159.049,0.027,-0.143
'[23:12:18.872 09/02/1989]',0.102,156.984,0.029,-0.150
'[23:12:18.876 09/02/1989]',0.110,155.607,0.027,-0.143
'[23:12:18.880 09/02/1989]',0.112,154.230,0.025,-0.154
'[23:12:18.884 09/02/1989]',0.112,151.705,0.025,-0.143
'[23:12:18.888 09/02/1989]',0.120,150.557,0.022,-0.150
'[23:12:18.892 09/02/1989]',0.134,148.721,0.022,-0.138
'[23:12:18.896 09/02/1989]',0.126,147.574,0.020,-0.143
'[23:12:18.900 09/02/1989]',0.120,146.885,0.018,-0.143
'[23:12:18.904 09/02/1989]',0.124,145.738,0.017,-0.147
'[23:12:18.908 09/02/1989]',0.120,145.738,0.011,-0.152
'[23:12:18.912 09/02/1989]',0.118,143.443,0.010,-0.152
'[23:12:18.916 09/02/1989]',0.118,143.213,0.006,-0.152
'[23:12:18.920 09/02/1989]',0.114,142.066,0.005,-0.145
'[23:12:18.924 09/02/1989]',0.122,141.148,0.002,-0.150
'[23:12:18.928 09/02/1989]',0.136,140.689,0.000,-0.154
'[23:12:18.932 09/02/1989]',0.140,140.230,-0.004,-0.147
'[23:12:18.936 09/02/1989]',0.122,139.541,-0.006,-0.152
'[23:12:18.940 09/02/1989]',0.114,139.541,-0.009,-0.159
'[23:12:18.944 09/02/1989]',0.106,139.082,-0.010,-0.157
'[23:12:18.948 09/02/1989]',0.104,138.394,-0.010,-0.154
'[23:12:18.952 09/02/1989]',0.098,138.394,-0.011,-0.162
'[23:12:18.956 09/02/1989]',0.108,136.787,-0.009,-0.162
'[23:12:18.960 09/02/1989]',0.128,136.787,-0.007,-0.159
'[23:12:18.964 09/02/1989]',0.128,136.098,-0.009,-0.152
'[23:12:18.968 09/02/1989]',0.124,135.410,-0.008,-0.159
'[23:12:18.972 09/02/1989]',0.124,134.721,-0.008,-0.162
'[23:12:18.976 09/02/1989]',0.112,134.033,-0.007,-0.157
'[23:12:18.980 09/02/1989]',0.106,133.344,-0.005,-0.159
'[23:12:18.984 09/02/1989]',0.114,132.426,-0.002,-0.157
'[23:12:18.988 09/02/1989]',0.104,131.967,0.002,-0.159
'[23:12:18.992 09/02/1989]',0.118,131.049,0.003,-0.162
'[23:12:18.996 09/02/1989]',0.112,129.443,0.002,-0.157
'[23:12:19.000 09/02/1989]',0.106,128.525,0.004,-0.166
'[23:12:19.004 09/02/1989]',0.096,127.377,0.006,-0.164
'[23:12:19.008 09/02/1989]',0.106,125.312,0.006,-0.154
'[23:12:19.012 09/02/1989]',0.088,123.935,0.007,-0.162
'[23:12:19.016 09/02/1989]',0.108,122.557,0.008,-0.166
'[23:12:19.020 09/02/1989]',0.096,120.721,0.011,-0.171
'[23:12:19.024 09/02/1989]',0.100,118.885,0.010,-0.169
'[23:12:19.028 09/02/1989]',0.104,116.820,0.013,-0.169
'[23:12:19.032 09/02/1989]',0.102,114.984,0.014,-0.169
'[23:12:19.036 09/02/1989]',0.094,113.148,0.016,-0.171
'[23:12:19.040 09/02/1989]',0.084,110.853,0.018,-0.164
'[23:12:19.044 09/02/1989]',0.090,109.934,0.018,-0.162
'[23:12:19.048 09/02/1989]',0.086,108.098,0.019,-0.171
'[23:12:19.052 09/02/1989]',0.070,106.951,0.018,-0.164
'[23:12:19.056 09/02/1989]',0.064,105.803,0.017,-0.162
'[23:12:19.060 09/02/1989]',0.076,105.115,0.014,-0.152
'[23:12:19.064 09/02/1989]',0.086,104.656,0.013,-0.159
'[23:12:19.068 09/02/1989]',0.092,104.656,0.012,-0.147
'[23:12:19.072 09/02/1989]',0.094,104.656,0.011,-0.147
'[23:12:19.076 09/02/1989]',0.096,104.656,0.013,-0.145
'[23:12:19.080 09/02/1989]',0.080,104.426,0.013,-0.143
'[23:12:19.084 09/02/1989]',0.086,105.115,0.011,-0.152
'[23:12:19.088 09/02/1989]',0.092,106.033,0.009,-0.143
'[23:12:19.092 09/02/1989]',0.088,106.262,0.006,-0.145
'[23:12:19.096 09/02/1989]',0.070,107.410,0.004,-0.143
'[23:12:19.100 09/02/1989]',0.074,107.639,0.003,-0.145
'[23:12:19.104 09/02/1989]',0.074,108.557,0.006,-0.143
'[23:12:19.108 09/02/1989]',0.070,109.016,0.005,-0.138
'[23:12:19.112 09/02/1989]',0.078,109.475,0.005,-0.124
'[23:12:19.116 09/02/1989]',0.080,110.394,0.006,-0.126
'[23:12:19.120 09/02/1989]',0.084,110.164,0.008,-0.121
'[23:12:19.124 09/02/1989]',0.088,110.853,0.007,-0.124
'[23:12:19.128 09/02/1989]',0.094,112.000,0.008,-0.114
'[23:12:19.132 09/02/1989]',0.092,111.771,0.008,-0.112
'[23:12:19.136 09/02/1989]',0.080,112.230,0.007,-0.114
'[23:12:19.140 09/02/1989]',0.082,112.918,0.005,-0.105
'[23:12:19.144 09/02/1989]',0.096,112.918,0.005,-0.107
'[23:12:19.148 09/02/1989]',0.084,112.689,0.004,-0.086
'[23:12:19.152 09/02/1989]',0.088,112.918,0.001,-0.095
'[23:12:19.156 09/02/1989]',0.072,113.148,-0.001,-0.095
'[23:12:19.160 09/02/1989]',0.088,112.689,-0.002,-0.095
'[23:12:19.164 09/02/1989]',0.086,112.918,-0.004,-0.088
'[23:12:19.168 09/02/1989]',0.102,112.689,-0.005,-0.090
'[23:12:19.172 09/02/1989]',0.098,112.230,-0.007,-0.090
'[23:12:19.176 09/02/1989]',0.110,112.000,-0.007,-0.086
'[23:12:19.180 09/02/1989]',0.088,112.230,-0.007,-0.090
'[23:12:19.184 09/02/1989]',0.088,111.082,-0.006,-0.083
'[23:12:19.188 09/02/1989]',0.090,110.623,-0.004,-0.093
'[23:12:19.192 09/02/1989]',0.094,110.394,-0.004,-0.086
'[23:12:19.196 09/02/1989]',0.072,109.246,-0.002,-0.090
'[23:12:19.200 09/02/1989]',0.094,109.246,0.003,-0.097
'[23:12:19.204 09/02/1989]',0.076,109.246,0.004,-0.097
'[23:12:19.208 09/02/1989]',0.086,109.246,0.006,-0.100
'[23:12:19.212 09/02/1989]',0.080,108.098,0.008,-0.097
'[23:12:19.216 09/02/1989]',0.080,107.180,0.007,-0.095
'[23:12:19.220 09/02/1989]',0.094,106.721,0.011,-0.095
'[23:12:19.224 09/02/1989]',0.104,105.803,0.010,-0.095
'[23:12:19.228 09/02/1989]',0.110,105.115,0.014,-0.090
'[23:12:19.232 09/02/1989]',0.122,104.426,0.014,-0.093
'[23:12:19.236 09/02/1989]',0.120,104.197,0.019,-0.090
'[23:12:19.240 09/02/1989]',0.120,103.508,0.020,-0.093
'[23:12:19.244 09/02/1989]',0.146,103.279,0.024,-0.095
'[23:12:19.248 09/02/1989]',0.156,102.820,0.024,-0.102
'[23:12:19.252 09/02/1989]',0.166,102.131,0.026,-0.102
'[23:12:19.256 09/02/1989]',0.182,101.902,0.030,-0.102
'[23:12:19.260 09/02/1989]',0.184,101.213,0.031,-0.105
'[23:12:19.264 09/02/1989]',0.190,101.213,0.033,-0.105
'[23:12:19.268 09/02/1989]',0.200,100.525,0.031,-0.105
'[23:12:19.272 09/02/1989]',0.220,100.295,0.033,-0.114
'[23:12:19.276 09/02/1989]',0.222,100.066,0.030,-0.105
'[23:12:19.280 09/02/1989]',0.242,100.066,0.029,-0.114
'[23:12:19.284 09/02/1989]',0.226,99.148,0.031,-0.105
'[23:12:19.288 09/02/1989]',0.224,98.918,0.031,-0.114
'[23:12:19.292 09/02/1989]',0.214,99.148,0.031,-0.102
'[23:12:19.296 09/02/1989]',0.210,97.541,0.032,-0.102
'[23:12:19.300 09/02/1989]',0.204,97.771,0.031,-0.102
'[23:12:19.304 09/02/1989]',0.178,97.771,0.030,-0.095
'[23:12:19.308 09/02/1989]',0.174,98.230,0.025,-0.105
'[23:12:19.312 09/02/1989]',0.124,96.623,0.023,-0.100
'[23:12:19.316 09/02/1989]',0.094,97.082,0.018,-0.105
'[23:12:19.320 09/02/1989]',0.056,96.394,0.017,-0.105
'[23:12:19.324 09/02/1989]',0.044,96.394,0.013,-0.105
'[23:12:19.328 09/02/1989]',0.022,95.934,0.014,-0.100
'[23:12:19.332 09/02/1989]',0.030,96.164,0.013,-0.100
'[23:12:19.336 09/02/1989]',0.024,95.705,0.013,-0.107
'[23:12:19.340 09/02/1989]',0.018,95.934,0.013,-0.105
'[23:12:19.344 09/02/1989]',0.020,95.475,0.014,-0.105
'[23:12:19.348 09/02/1989]',0.024,95.016,0.014,-0.097
'[23:12:19.352 09/02/1989]',0.018,94.557,0.011,-0.097
'[23:12:19.356 09/02/1989]',0.016,94.557,0.012,-0.097
'[23:12:19.360 09/02/1989]',0.024,94.557,0.009,-0.105
'[23:12:19.364 09/02/1989]',0.012,94.557,0.007,-0.095
'[23:12:19.368 09/02/1989]',0.012,94.557,0.007,-0.095
'[23:12:19.372 09/02/1989]',0.012,93.639,0.006,-0.102
'[23:12:19.376 09/02/1989]',0.026,93.639,0.007,-0.093
'[23:12:19.380 09/02/1989]',0.024,93.639,0.005,-0.090
'[23:12:19.384 09/02/1989]',0.020,93.180,0.003,-0.090
'[23:12:19.388 09/02/1989]',0.004,93.410,0.003,-0.090
'[23:12:19.392 09/02/1989]',-0.006,92.951,0.001,-0.088
'[23:12:19.396 09/02/1989]',-0.016,93.180,-0.000,-0.090
'[23:12:19.400 09/02/1989]',-0.062,93.410,-0.001,-0.095
'[23:12:19.404 09/02/1989]',-0.116,92.721,-0.000,-0.093
'[23:12:19.408 09/02/1989]',-0.140,92.951,-0.001,-0.088
'[23:12:19.412 09/02/1989]',-0.082,92.492,-0.000,-0.088
'[23:12:19.416 09/02/1989]',0.172,92.951,0.002,-0.090
'[23:12:19.420 09/02/1989]',0.550,92.721,0.003,-0.090
'[23:12:19.424 09/02/1989]',1.008,92.492,0.006,-0.088
'[23:12:19.428 09/02/1989]',1.328,92.492,0.009,-0.083
'[23:12:19.432 09/02/1989]',1.616,92.033,0.012,-0.086
'[23:12:19.436 09/02/1989]',1.640,91.803,0.017,-0.086
'[23:12:19.440 09/02/1989]',1.182,92.492,0.023,-0.095
'[23:12:19.444 09/02/1989]',0.890,91.803,0.029,-0.088
'[23:12:19.448 09/02/1989]',0.380,92.492,0.034,-0.090
'[23:12:19.452 09/02/1989]',-0.112,92.492,0.038,-0.095
'[23:12:19.456 09/02/1989]',-0.416,92.721,0.043,-0.093
'[23:12:19.460 09/02/1989]',-0.650,92.721,0.049,-0.095
'[23:12:19.464 09/02/1989]',-0.798,92.033,0.051,-0.088
'[23:12:19.468 09/02/1989]',-0.758,91.803,0.056,-0.090
'[23:12:19.472 09/02/1989]',-0.552,91.803,0.057,-0.100
'[23:12:19.476 09/02/1989]',-0.332,91.803,0.059,-0.093
'[23:12:19.480 09/02/1989]',-0.188,90.885,0.055,-0.093
'[23:12:19.484 09/02/1989]',-0.126,90.885,0.051,-0.086
'[23:12:19.488 09/02/1989]',-0.098,90.197,0.047,-0.086
'[23:12:19.492 09/02/1989]',-0.082,90.426,0.042,-0.090
'[23:12:19.496 09/02/1989]',-0.088,90.885,0.034,-0.086
'[23:12:19.500 09/02/1989]',-0.082,89.967,0.030,-0.086
'[23:12:19.504 09/02/1989]',-0.072,89.967,0.024,-0.095
'[23:12:19.508 09/02/1989]',-0.060,90.197,0.019,-0.095
'[23:12:19.512 09/02/1989]',-0.062,89.967,0.015,-0.093
'[23:12:19.516 09/02/1989]',-0.052,89.738,0.011,-0.093
'[23:12:19.520 09/02/1989]',-0.050,89.279,0.005,-0.095
'[23:12:19.524 09/02/1989]',-0.048,89.508,0.001,-0.097
'[23:12:19.528 09/02/1989]',-0.040,88.590,0.002,-0.095
'[23:12:19.532 09/02/1989]',-0.016,89.049,0.002,-0.095
'[23:12:19.536 09/02/1989]',-0.016,88.361,0.003,-0.095
'[23:12:19.540 09/02/1989]',-0.024,88.361,-0.000,-0.095
'[23:12:19.544 09/02/1989]',-0.012,87.902,0.000,-0.090
'[23:12:19.548 09/02/1989]',-0.012,88.131,-0.002,-0.100
'[23:12:19.552 09/02/1989]',-0.018,87.902,-0.002,-0.100
'[23:12:19.556 09/02/1989]',-0.006,88.131,-0.000,-0.105
'[23:12:19.560 09/02/1989]',0.006,87.902,-0.001,-0.095
'[23:12:19.564 09/02/1989]',0.012,87.213,0.003,-0.090
'[23:12:19.568 09/02/1989]',0.004,87.213,0.003,-0.090
'[23:12:19.572 09/02/1989]',0.002,86.525,0.007,-0.093
'[23:12:19.576 09/02/1989]',0.008,86.984,0.011,-0.095
'[23:12:19.580 09/02/1989]',0.012,86.295,0.016,-0.088
'[23:12:19.584 09/02/1989]',0.004,86.525,0.020,-0.093
'[23:12:19.588 09/02/1989]',0.010,86.754,0.025,-0.100
'[23:12:19.592 09/02/1989]',0.024,87.213,0.028,-0.095
'[23:12:19.596 09/02/1989]',0.006,87.213,0.033,-0.088
'[23:12:19.600 09/02/1989]',0.018,88.131,0.035,-0.088
'[23:12:19.604 09/02/1989]',0.020,89.279,0.039,-0.086
'[23:12:19.608 09/02/1989]',0.018,90.885,0.040,-0.095
'[23:12:19.612 09/02/1989]',0.026,93.180,0.038,-0.095
'[23:12:19.616 09/02/1989]',0.040,96.164,0.036,-0.093
'[23:12:19.620 09/02/1989]',0.040,99.377,0.033,-0.083
'[23:12:19.624 09/02/1989]',0.044,103.738,0.024,-0.086
'[23:12:19.628 09/02/1989]',0.036,108.098,0.022,-0.086
'[23:12:19.632 09/02/1989]',0.046,113.377,0.016,-0.086
'[23:12:19.636 09/02/1989]',0.046,118.426,0.011,-0.090
'[23:12:19.640 09/02/1989]',0.046,124.394,0.007,-0.083
'[23:12:19.644 09/02/1989]',0.054,129.902,0.004,-0.083
'[23:12:19.648 09/02/1989]',0.064,135.180,-0.000,-0.083
'[23:12:19.652 09/02/1989]',0.064,140.689,-0.002,-0.086
'[23:12:19.656 09/02/1989]',0.066,146.885,-0.005,-0.083
'[23:12:19.660 09/02/1989]',0.090,152.164,-0.005,-0.078
'[23:12:19.664 09/02/1989]',0.088,157.213,-0.008,-0.081
'[23:12:19.668 09/02/1989]',0.086,161.803,-0.011,-0.083
'[23:12:19.672 09/02/1989]',0.078,165.935,-0.009,-0.083
'[23:12:19.676 09/02/1989]',0.090,169.148,-0.007,-0.083
'[23:12:19.680 09/02/1989]',0.070,171.902,-0.008,-0.083
'[23:12:19.684 09/02/1989]',0.072,173.508,-0.008,-0.081
'[23:12:19.688 09/02/1989]',0.064,175.115,-0.006,-0.078
'[23:12:19.692 09/02/1989]',0.064,175.574,-0.004,-0.076
'[23:12:19.696 09/02/1989]',0.056,176.033,-0.002,-0.086
'[23:12:19.700 09/02/1989]',0.082,175.115,0.002,-0.083
'[23:12:19.704 09/02/1989]',0.078,174.885,0.002,-0.090
'[23:12:19.708 09/02/1989]',0.086,173.508,0.004,-0.093
'[23:12:19.712 09/02/1989]',0.072,171.902,0.006,-0.086
'[23:12:19.716 09/02/1989]',0.074,170.066,0.009,-0.086
'[23:12:19.720 09/02/1989]',0.064,168.000,0.014,-0.081
'[23:12:19.724 09/02/1989]',0.056,166.164,0.017,-0.088
'[23:12:19.728 09/02/1989]',0.060,163.639,0.018,-0.086
'[23:12:19.732 09/02/1989]',0.072,161.574,0.021,-0.090
'[23:12:19.736 09/02/1989]',0.088,159.967,0.019,-0.086
'[23:12:19.740 09/02/1989]',0.100,157.902,0.018,-0.090
'[23:12:19.744 09/02/1989]',0.106,156.066,0.020,-0.086
'[23:12:19.748 09/02/1989]',0.114,154.000,0.019,-0.078
'[23:12:19.752 09/02/1989]',0.118,151.476,0.017,-0.074
'[23:12:19.756 09/02/1989]',0.128,150.557,0.013,-0.076
'[23:12:19.760 09/02/1989]',0.136,149.410,0.006,-0.078
'[23:12:19.764 09/02/1989]',0.132,148.492,0.005,-0.081
'[23:12:19.768 09/02/1989]',0.120,147.115,-0.001,-0.083
'[23:12:19.772 09/02/1989]',0.122,145.967,-0.002,-0.083
'[23:12:19.776 09/02/1989]',0.128,145.049,-0.005,-0.083
'[23:12:19.780 09/02/1989]',0.124,143.902,-0.008,-0.078
'[23:12:19.784 09/02/1989]',0.138,143.213,-0.009,-0.088
'[23:12:19.788 09/02/1989]',0.130,142.295,-0.011,-0.081
'[23:12:19.792 09/02/1989]',0.142,142.295,-0.013,-0.076
'[23:12:19.796 09/02/1989]',0.134,141.377,-0.014,-0.083
'[23:12:19.800 09/02/1989]',0.134,140.459,-0.013,-0.086
'[23:12:19.804 09/02/1989]',0.122,139.541,-0.011,-0.076
'[23:12:19.808 09/02/1989]',0.128,138.623,-0.012,-0.078
'[23:12:19.812 09/02/1989]',0.108,137.246,-0.009,-0.078
'[23:12:19.816 09/02/1989]',0.134,137.705,-0.008,-0.078
'[23:12:19.820 09/02/1989]',0.136,137.246,-0.009,-0.083
'[23:12:19.824 09/02/1989]',0.126,136.787,-0.011,-0.083
'[23:12:19.828 09/02/1989]',0.128,134.951,-0.013,-0.078
'[23:12:19.832 09/02/1989]',0.120,135.180,-0.015,-0.083
'[23:12:19.836 09/02/1989]',0.118,134.033,-0.014,-0.083
'[23:12:19.840 09/02/1989]',0.112,133.344,-0.018,-0.081
'[23:12:19.844 09/02/1989]',0.120,132.426,-0.014,-0.076
'[23:12:19.848 09/02/1989]',0.100,131.738,-0.014,-0.076
'[23:12:19.852 09/02/1989]',0.112,130.820,-0.013,-0.078
'[23:12:19.856 09/02/1989]',0.110,128.525,-0.010,-0.071
'[23:12:19.860 09/02/1989]',0.132,127.377,-0.009,-0.076
'[23:12:19.864 09/02/1989]',0.128,125.312,-0.009,-0.074
'[23:12:19.868 09/02/1989]',0.104,123.935,-0.006,-0.069
'[23:12:19.872 09/02/1989]',0.090,121.869,-0.006,-0.076
'[23:12:19.876 09/02/1989]',0.096,120.262,-0.005,-0.074
'[23:12:19.880 09/02/1989]',0.102,118.885,-0.007,-0.076
'[23:12:19.884 09/02/1989]',0.090,117.508,-0.008,-0.076
'[23:12:19.888 09/02/1989]',0.112,115.672,-0.011,-0.081
'[23:12:19.892 09/02/1989]',0.108,114.066,-0.011,-0.076
'[23:12:19.896 09/02/1989]',0.066,112.230,-0.014,-0.076
'[23:12:19.900 09/02/1989]',0.088,111.312,-0.013,-0.083
'[23:12:19.904 09/02/1989]',0.080,110.164,-0.013,-0.078
'[23:12:19.908 09/02/1989]',0.088,109.246,-0.013,-0.081
'[23:12:19.912 09/02/1989]',0.104,108.328,-0.012,-0.088
'[23:12:19.916 09/02/1989]',0.098,106.721,-0.011,-0.076
'[23:12:19.920 09/02/1989]',0.130,106.033,-0.009,-0.067
'[23:12:19.924 09/02/1989]',0.098,105.574,-0.009,-0.074
'[23:12:19.928 09/02/1989]',0.098,105.574,-0.009,-0.067
'[23:12:19.932 09/02/1989]',0.092,105.115,-0.007,-0.067
'[23:12:19.936 09/02/1989]',0.082,105.344,-0.007,-0.067
'[23:12:19.940 09/02/1989]',0.066,105.574,-0.010,-0.069
'[23:12:19.944 09/02/1989]',0.082,105.574,-0.009,-0.064
'[23:12:19.948 09/02/1989]',0.094,105.803,-0.009,-0.069
'[23:12:19.952 09/02/1989]',0.100,106.262,-0.009,-0.069
'[23:12:19.956 09/02/1989]',0.090,106.492,-0.008,-0.067
'[23:12:19.960 09/02/1989]',0.088,108.098,-0.009,-0.076
'[23:12:19.964 09/02/1989]',0.082,109.016,-0.011,-0.081
'[23:12:19.968 09/02/1989]',0.080,109.246,-0.014,-0.076
'[23:12:19.972 09/02/1989]',0.094,110.164,-0.013,-0.078
'[23:12:19.976 09/02/1989]',0.100,110.623,-0.016,-0.076
'[23:12:19.980 09/02/1989]',0.076,110.853,-0.015,-0.074
'[23:12:19.984 09/02/1989]',0.092,111.771,-0.014,-0.074
'[23:12:19.988 09/02/1989]',0.074,112.000,-0.013,-0.081
'[23:12:19.992 09/02/1989]',0.094,112.000,-0.014,-0.076
'[23:12:19.996 09/02/1989]',0.080,112.459,-0.014,-0.076
'[23:12:20.000 09/02/1989]',0.086,112.230,-0.015,-0.081
'[23:12:20.004 09/02/1989]',0.072,112.918,-0.019,-0.076
'[23:12:20.008 09/02/1989]',0.086,112.918,-0.019,-0.074
'[23:12:20.012 09/02/1989]',0.064,112.459,-0.017,-0.078
'[23:12:20.016 09/02/1989]',0.100,112.000,-0.017,-0.076
'[23:12:20.020 09/02/1989]',0.080,111.771,-0.015,-0.076
'[23:12:20.024 09/02/1989]',0.096,111.312,-0.016,-0.076
'[23:12:20.028 09/02/1989]',0.086,111.082,-0.011,-0.076
'[23:12:20.032 09/02/1989]',0.072,110.623,-0.011,-0.071
'[23:12:20.036 09/02/1989]',0.080,110.164,-0.011,-0.069
'[23:12:20.040 09/02/1989]',0.078,109.705,-0.010,-0.076
'[23:12:20.044 09/02/1989]',0.086,109.246,-0.011,-0.074
'[23:12:20.048 09/02/1989]',0.082,109.016,-0.011,-0.083
'[23:12:20.052 09/02/1989]',0.084,108.098,-0.011,-0.083
'[23:12:20.056 09/02/1989]',0.064,107.639,-0.011,-0.086
'[23:12:20.060 09/02/1989]',0.076,107.410,-0.011,-0.081
'[23:12:20.064 09/02/1989]',0.078,106.492,-0.014,-0.086
'[23:12:20.068 09/02/1989]',0.088,105.574,-0.010,-0.086
'[23:12:20.072 09/02/1989]',0.066,105.574,-0.012,-0.088
'[23:12:20.076 09/02/1989]',0.090,105.115,-0.011,-0.086
'[23:12:20.080 09/02/1989]',0.064,104.656,-0.011,-0.086
'[23:12:20.084 09/02/1989]',0.078,103.738,-0.010,-0.081
'[23:12:20.088 09/02/1989]',0.072,103.049,-0.010,-0.086
'[23:12:20.092 09/02/1989]',0.088,103.279,-0.009,-0.081
'[23:12:20.096 09/02/1989]',0.080,102.361,-0.008,-0.074
'[23:12:20.100 09/02/1989]',0.092,101.902,-0.007,-0.076
'[23:12:20.104 09/02/1989]',0.090,100.984,-0.005,-0.071
'[23:12:20.108 09/02/1989]',0.102,100.984,-0.007,-0.071
'[23:12:20.112 09/02/1989]',0.094,100.525,-0.007,-0.071
'[23:12:20.116 09/02/1989]',0.094,99.836,-0.010,-0.074
'[23:12:20.120 09/02/1989]',0.104,99.148,-0.009,-0.071
'[23:12:20.124 09/02/1989]',0.078,98.918,-0.014,-0.067
'[23:12:20.128 09/02/1989]',0.056,98.230,-0.013,-0.071
'[23:12:20.132 09/02/1989]',0.078,97.541,-0.011,-0.064
'[23:12:20.136 09/02/1989]',0.084,97.312,-0.014,-0.071
'[23:12:20.140 09/02/1989]',0.110,97.312,-0.011,-0.071
'[23:12:20.144 09/02/1989]',0.120,96.623,-0.011,-0.062
'[23:12:20.148 09/02/1989]',0.102,96.394,-0.009,-0.074
'[23:12:20.152 09/02/1989]',0.110,96.394,-0.007,-0.074
'[23:12:20.156 09/02/1989]',0.120,96.394,-0.008,-0.071
'[23:12:20.160 09/02/1989]',0.118,95.475,-0.003,-0.067
'[23:12:20.164 09/02/1989]',0.104,95.934,-0.006,-0.067
'[23:12:20.168 09/02/1989]',0.152,95.475,-0.008,-0.069
'[23:12:20.172 09/02/1989]',0.128,94.557,-0.007,-0.059
'[23:12:20.176 09/02/1989]',0.150,95.246,-0.007,-0.057
'[23:12:20.180 09/02/1989]',0.164,94.787,-0.008,-0.059
'[23:12:20.184 09/02/1989]',0.154,94.787,-0.008,-0.057
'[23:12:20.188 09/02/1989]',0.156,93.639,-0.008,-0.050
'[23:12:20.192 09/02/1989]',0.204,93.869,-0.009,-0.048
'[23:12:20.196 09/02/1989]',0.214,93.639,-0.006,-0.045
'[23:12:20.200 09/02/1989]',0.234,93.180,-0.008,-0.048
'[23:12:20.204 09/02/1989]',0.252,93.180,-0.007,-0.050
'[23:12:20.208 09/02/1989]',0.256,92.721,-0.005,-0.038
'[23:12:20.212 09/02/1989]',0.236,92.721,-0.005,-0.043
'[23:12:20.216 09/02/1989]',0.228,92.033,-0.004,-0.038
'[23:12:20.220 09/02/1989]',0.220,92.033,-0.005,-0.040
'[23:12:20.224 09/02/1989]',0.192,91.574,-0.004,-0.040
'[23:12:20.228 09/02/1989]',0.200,92.033,-0.001,-0.038
'[23:12:20.232 09/02/1989]',0.170,91.574,-0.000,-0.036
'[23:12:20.236 09/02/1989]',0.120,91.803,0.002,-0.038
'[23:12:20.240 09/02/1989]',0.112,91.803,0.001,-0.038
'[23:12:20.244 09/02/1989]',0.036,91.574,0.005,-0.033
'[23:12:20.248 09/02/1989]',0.038,90.885,0.004,-0.029
'[23:12:20.252 09/02/1989]',0.016,90.656,0.006,-0.033
'[23:12:20.256 09/02/1989]',0.058,90.885,0.006,-0.026
'[23:12:20.260 09/02/1989]',0.032,90.426,0.007,-0.029
'[23:12:20.264 09/02/1989]',0.034,89.967,0.009,-0.019
'[23:12:20.268 09/02/1989]',0.044,89.279,0.011,-0.017
'[23:12:20.272 09/02/1989]',-0.008,89.738,0.013,-0.019
'[23:12:20.276 09/02/1989]',0.048,89.279,0.013,-0.029
'[23:12:20.280 09/02/1989]',0.040,89.738,0.013,-0.024
'[23:12:20.284 09/02/1989]',0.016,89.279,0.011,-0.029
'[23:12:20.288 09/02/1989]',-0.004,89.049,0.011,-0.029
