sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
           1063	 -0.112	130.910	  0.008	 -0.007	 -0.158	 -0.107	  0.005
           1064	 -0.126	131.656	  0.009	 -0.009	 -0.158	 -0.107	  0.003
           1065	 -0.128	132.083	  0.014	 -0.008	 -0.158	 -0.112	  0.005
           1066	 -0.138	132.083	  0.011	 -0.007	 -0.157	 -0.112	  0.003
           1067	 -0.126	132.297	  0.010	 -0.007	 -0.157	 -0.106	  0.002
           1068	 -0.148	132.190	  0.005	 -0.008	 -0.156	 -0.101	  0.003
           1069	 -0.136	131.870	  0.003	 -0.008	 -0.156	 -0.094	 -0.002
           1070	 -0.194	131.656	  0.008	 -0.008	 -0.155	 -0.094	  0.001
           1071	 -0.194	131.230	  0.008	 -0.008	 -0.155	 -0.096	  0.007
           1072	 -0.208	130.803	  0.008	 -0.006	 -0.155	 -0.106	 -0.007
           1073	 -0.224	130.376	  0.012	 -0.007	 -0.155	 -0.112	  0.012
           1074	 -0.232	129.736	  0.004	 -0.005	 -0.154	 -0.120	  0.003
           1075	 -0.246	129.096	 -0.001	 -0.007	 -0.154	 -0.121	 -0.004
           1076	 -0.264	128.456	  0.006	 -0.006	 -0.153	 -0.118	 -0.004
           1077	 -0.266	127.709	 -0.006	 -0.006	 -0.153	 -0.116	  0.003
           1078	 -0.262	126.962	 -0.001	 -0.005	 -0.153	 -0.110	  0.002
           1079	 -0.264	126.215	 -0.001	 -0.005	 -0.152	 -0.108	  0.006
           1080	 -0.260	125.575	  0.003	 -0.004	 -0.152	 -0.107	  0.002
           1081	 -0.272	124.828	 -0.004	 -0.002	 -0.151	 -0.106	  0.003
           1082	 -0.264	124.081	  0.005	 -0.001	 -0.151	 -0.103	  0.005
           1083	 -0.258	123.228	  0.004	 -0.000	 -0.151	 -0.104	  0.001
           1084	 -0.264	122.694	 -0.000	 -0.000	 -0.151	 -0.103	  0.003
           1085	 -0.264	122.054	  0.001	 -0.000	 -0.151	 -0.105	  0.004
           1086	 -0.270	121.414	  0.002	  0.001	 -0.151	 -0.105	  0.005
           1087	 -0.270	120.667	 -0.002	 -0.000	 -0.152	 -0.103	  0.003
           1088	 -0.272	120.027	 -0.005	 -0.000	 -0.151	 -0.105	  0.004
           1089	 -0.274	119.387	 -0.002	 -0.000	 -0.151	 -0.104	  0.001
           1090	 -0.270	118.747	 -0.008	 -0.000	 -0.150	 -0.108	  0.003
           1091	 -0.274	118.000	 -0.003	 -0.000	 -0.150	 -0.111	 -0.001
           1092	 -0.264	117.467	 -0.008	  0.001	 -0.150	 -0.112	  0.010
           1093	 -0.252	116.720	 -0.008	 -0.000	 -0.150	 -0.115	 -0.009
           1094	 -0.270	115.973	 -0.002	  0.003	 -0.150	 -0.114	  0.008
           1095	 -0.258	115.439	 -0.007	  0.002	 -0.150	 -0.112	  0.005
           1096	 -0.272	114.693	 -0.006	  0.001	 -0.150	 -0.109	 -0.001
           1097	 -0.284	114.159	 -0.007	  0.003	 -0.150	 -0.105	 -0.001
           1098	 -0.250	113.199	 -0.009	  0.004	 -0.150	 -0.103	  0.011
           1099	 -0.256	112.452	 -0.002	  0.005	 -0.150	 -0.107	 -0.002
           1100	 -0.280	111.385	 -0.003	  0.004	 -0.150	 -0.111	  0.014
           1101	 -0.260	110.425	 -0.006	  0.006	 -0.150	 -0.116	 -0.008
           1102	 -0.242	109.465	  0.006	  0.005	 -0.149	 -0.118	 -0.002
           1103	 -0.246	108.184	 -0.008	  0.006	 -0.148	 -0.117	  0.024
           1104	 -0.228	106.797	  0.003	  0.005	 -0.148	 -0.115	 -0.008
           1105	 -0.248	105.411	 -0.005	  0.005	 -0.147	 -0.115	  0.013
           1106	 -0.238	103.917	 -0.010	  0.007	 -0.147	 -0.118	 -0.006
           1107	 -0.248	102.530	 -0.001	  0.005	 -0.147	 -0.118	  0.006
           1108	 -0.238	100.823	 -0.003	  0.005	 -0.147	 -0.116	  0.004
           1109	 -0.248	 99.329	 -0.000	  0.006	 -0.147	 -0.116	  0.008
           1110	 -0.216	 97.942	 -0.005	  0.006	 -0.147	 -0.113	  0.007
           1111	 -0.252	 96.342	 -0.001	  0.007	 -0.147	 -0.116	 -0.012
           1112	 -0.208	 94.955	 -0.009	  0.007	 -0.147	 -0.117	  0.007
           1113	 -0.212	 93.781	 -0.006	  0.007	 -0.147	 -0.115	  0.006
           1114	 -0.176	 92.714	  0.003	  0.005	 -0.147	 -0.107	  0.005
           1115	 -0.198	 91.541	 -0.010	  0.006	 -0.146	 -0.102	  0.006
           1116	 -0.208	 90.687	 -0.003	  0.004	 -0.146	 -0.095	  0.009
           1117	 -0.214	 90.047	 -0.001	  0.005	 -0.145	 -0.097	 -0.008
           1118	 -0.174	 89.407	 -0.005	  0.003	 -0.145	 -0.100	  0.008
           1119	 -0.198	 88.660	 -0.011	  0.004	 -0.144	 -0.100	  0.005
           1120	 -0.182	 88.447	 -0.003	  0.004	 -0.144	 -0.100	 -0.002
           1121	 -0.174	 88.127	 -0.002	  0.004	 -0.143	 -0.098	 -0.010
           1122	 -0.172	 88.020	 -0.008	  0.004	 -0.143	 -0.097	  0.013
           1123	 -0.188	 87.913	 -0.008	  0.005	 -0.143	 -0.097	  0.003
           1124	 -0.178	 88.127	  0.000	  0.006	 -0.143	 -0.097	 -0.007
           1125	 -0.190	 88.127	 -0.011	  0.005	 -0.142	 -0.097	 -0.001
           1126	 -0.190	 88.447	 -0.006	  0.004	 -0.142	 -0.091	  0.002
           1127	 -0.172	 88.660	 -0.015	  0.005	 -0.142	 -0.086	  0.024
           1128	 -0.186	 88.980	 -0.010	  0.005	 -0.142	 -0.080	  0.002
           1129	 -0.182	 89.300	 -0.009	  0.006	 -0.142	 -0.080	  0.009
           1130	 -0.192	 89.727	 -0.010	  0.006	 -0.142	 -0.078	 -0.001
           1131	 -0.194	 90.154	 -0.019	  0.008	 -0.142	 -0.077	 -0.005
           1132	 -0.168	 90.580	 -0.016	  0.006	 -0.142	 -0.073	 -0.003
           1133	 -0.206	 90.901	 -0.019	  0.007	 -0.143	 -0.069	 -0.003
           1134	 -0.170	 91.221	 -0.012	  0.006	 -0.143	 -0.068	  0.023
           1135	 -0.200	 91.754	 -0.018	  0.005	 -0.144	 -0.070	 -0.003
           1136	 -0.178	 91.967	 -0.018	  0.006	 -0.145	 -0.067	  0.006
           1137	 -0.164	 92.181	 -0.013	  0.005	 -0.145	 -0.063	 -0.003
           1138	 -0.170	 92.501	 -0.014	  0.006	 -0.146	 -0.062	  0.001
           1139	 -0.172	 92.821	 -0.017	  0.005	 -0.146	 -0.059	  0.007
           1140	 -0.174	 92.928	 -0.007	  0.004	 -0.146	 -0.061	  0.008
           1141	 -0.188	 93.141	 -0.023	  0.005	 -0.146	 -0.060	  0.024
           1142	 -0.178	 93.248	 -0.019	  0.007	 -0.146	 -0.057	  0.001
           1143	 -0.182	 93.248	 -0.025	  0.007	 -0.146	 -0.053	 -0.000
           1144	 -0.208	 93.141	 -0.018	  0.008	 -0.146	 -0.053	 -0.006
           1145	 -0.188	 93.141	 -0.019	  0.007	 -0.146	 -0.052	 -0.001
           1146	 -0.186	 93.034	 -0.015	  0.005	 -0.145	 -0.050	  0.002
           1147	 -0.218	 92.928	 -0.006	  0.007	 -0.145	 -0.052	  0.007
           1148	 -0.202	 92.714	 -0.011	  0.006	 -0.145	 -0.053	  0.004
           1149	 -0.186	 92.394	 -0.007	  0.008	 -0.144	 -0.056	  0.007
           1150	 -0.132	 92.288	 -0.014	  0.006	 -0.144	 -0.057	  0.002
           1151	 -0.178	 92.074	 -0.005	  0.007	 -0.145	 -0.054	 -0.002
           1152	 -0.168	 91.967	 -0.011	  0.006	 -0.144	 -0.051	  0.003
           1153	 -0.148	 91.647	 -0.013	  0.004	 -0.144	 -0.047	 -0.001
           1154	 -0.144	 91.114	 -0.002	  0.004	 -0.144	 -0.044	  0.008
           1155	 -0.120	 90.901	 -0.006	  0.004	 -0.144	 -0.050	  0.008
           1156	 -0.090	 90.580	 -0.001	  0.004	 -0.144	 -0.053	  0.027
           1157	 -0.064	 90.154	 -0.011	  0.004	 -0.143	 -0.056	 -0.004
           1158	 -0.080	 89.834	 -0.012	  0.004	 -0.143	 -0.060	  0.011
           1159	 -0.080	 89.407	 -0.016	  0.004	 -0.143	 -0.059	  0.000
           1160	 -0.068	 88.980	 -0.015	  0.006	 -0.143	 -0.060	 -0.013
           1161	 -0.102	 88.553	 -0.019	  0.006	 -0.142	 -0.060	  0.002
           1162	 -0.094	 88.127	 -0.016	  0.004	 -0.142	 -0.065	 -0.000
           1163	 -0.014	 87.700	 -0.023	  0.005	 -0.142	 -0.069	 -0.003
           1164	  0.008	 87.273	 -0.013	  0.004	 -0.141	 -0.074	  0.001
           1165	  0.032	 86.846	 -0.016	  0.005	 -0.141	 -0.074	  0.005
           1166	  0.082	 86.420	 -0.018	  0.004	 -0.140	 -0.076	  0.003
           1167	  0.032	 85.993	 -0.017	  0.004	 -0.140	 -0.075	  0.008
           1168	  0.046	 85.566	 -0.009	  0.004	 -0.140	 -0.075	  0.007
           1169	  0.008	 84.926	 -0.016	  0.004	 -0.139	 -0.076	  0.011
           1170	 -0.000	 84.712	 -0.011	  0.006	 -0.138	 -0.076	  0.000
           1171	  0.008	 84.286	 -0.012	  0.006	 -0.138	 -0.077	  0.002
           1172	  0.002	 83.859	 -0.009	  0.007	 -0.137	 -0.078	 -0.002
           1173	 -0.002	 83.432	 -0.010	  0.008	 -0.137	 -0.079	 -0.001
           1174	 -0.048	 83.005	 -0.002	  0.009	 -0.137	 -0.079	  0.001
           1175	 -0.098	 82.685	 -0.008	  0.012	 -0.137	 -0.077	  0.030
           1176	 -0.160	 82.259	 -0.009	  0.011	 -0.137	 -0.075	 -0.004
           1177	 -0.236	 81.939	 -0.008	  0.011	 -0.135	 -0.070	  0.007
           1178	 -0.254	 81.512	 -0.011	  0.012	 -0.135	 -0.069	 -0.004
           1179	 -0.280	 81.192	 -0.009	  0.012	 -0.133	 -0.064	 -0.005
           1180	 -0.300	 80.872	 -0.017	  0.012	 -0.134	 -0.062	  0.000
           1181	 -0.294	 80.445	 -0.019	  0.013	 -0.133	 -0.062	  0.000
           1182	 -0.300	 80.231	 -0.015	  0.012	 -0.133	 -0.063	  0.002
           1183	 -0.300	 79.911	 -0.013	  0.014	 -0.132	 -0.058	  0.005
           1184	 -0.258	 79.591	 -0.020	  0.014	 -0.131	 -0.062	 -0.002
           1185	 -0.306	 79.271	 -0.017	  0.016	 -0.131	 -0.067	  0.001
           1186	 -0.260	 78.844	 -0.015	  0.017	 -0.131	 -0.074	  0.006
           1187	 -0.270	 78.524	 -0.018	  0.017	 -0.131	 -0.085	  0.003
           1188	 -0.304	 78.311	 -0.021	  0.018	 -0.129	 -0.090	  0.004
           1189	 -0.272	 78.204	 -0.011	  0.017	 -0.129	 -0.093	  0.007
           1190	 -0.312	 77.884	 -0.012	  0.020	 -0.128	 -0.091	  0.001
           1191	 -0.326	 77.671	 -0.017	  0.021	 -0.127	 -0.092	 -0.006
           1192	 -0.298	 77.458	 -0.007	  0.024	 -0.126	 -0.089	  0.003
           1193	 -0.294	 77.137	 -0.016	  0.027	 -0.125	 -0.087	  0.004
           1194	 -0.278	 76.924	 -0.012	  0.030	 -0.124	 -0.089	  0.029
           1195	 -0.316	 76.924	 -0.011	  0.034	 -0.124	 -0.092	 -0.003
           1196	 -0.330	 76.711	 -0.012	  0.035	 -0.124	 -0.099	  0.007
           1197	 -0.354	 76.604	 -0.009	  0.038	 -0.123	 -0.101	 -0.005
           1198	 -0.390	 76.284	 -0.009	  0.038	 -0.122	 -0.103	 -0.004
           1199	 -0.416	 76.177	 -0.001	  0.041	 -0.122	 -0.104	 -0.007
           1200	 -0.328	 76.177	  0.002	  0.042	 -0.122	 -0.100	  0.010
           1201	 -0.086	 75.964	 -0.003	  0.046	 -0.121	 -0.103	  0.001
           1202	  0.370	 75.964	  0.003	  0.050	 -0.120	 -0.103	 -0.002
           1203	  1.038	 75.750	  0.015	  0.051	 -0.120	 -0.106	  0.000
           1204	  1.776	 75.644	  0.033	  0.055	 -0.119	 -0.112	  0.010
           1205	  2.264	 75.537	  0.029	  0.059	 -0.119	 -0.119	  0.016
           1206	  2.328	 75.537	  0.035	  0.064	 -0.118	 -0.121	  0.019
           1207	  1.876	 75.430	  0.025	  0.069	 -0.118	 -0.121	  0.009
           1208	  1.202	 75.217	  0.013	  0.073	 -0.117	 -0.115	  0.008
           1209	  0.280	 75.217	 -0.001	  0.076	 -0.117	 -0.107	  0.003
           1210	 -0.320	 75.110	 -0.004	  0.078	 -0.116	 -0.098	  0.020
           1211	 -0.666	 74.897	 -0.012	  0.081	 -0.115	 -0.090	 -0.001
           1212	 -0.888	 74.790	 -0.011	  0.081	 -0.115	 -0.085	  0.003
           1213	 -0.832	 74.684	 -0.010	  0.089	 -0.113	 -0.082	 -0.008
           1214	 -0.788	 74.577	 -0.007	  0.091	 -0.113	 -0.081	 -0.009
           1215	 -0.746	 74.470	 -0.011	  0.097	 -0.113	 -0.084	  0.000
           1216	 -0.686	 74.257	 -0.008	  0.101	 -0.112	 -0.084	 -0.002
           1217	 -0.578	 74.043	 -0.007	  0.107	 -0.111	 -0.088	  0.001
           1218	 -0.558	 73.937	 -0.007	  0.110	 -0.111	 -0.092	  0.002
           1219	 -0.512	 73.723	 -0.004	  0.112	 -0.111	 -0.094	  0.002
           1220	 -0.478	 73.723	 -0.007	  0.116	 -0.110	 -0.095	  0.000
           1221	 -0.502	 73.617	 -0.013	  0.119	 -0.110	 -0.095	 -0.006
           1222	 -0.464	 73.510	 -0.015	  0.123	 -0.109	 -0.094	 -0.003
           1223	 -0.464	 73.297	 -0.014	  0.129	 -0.109	 -0.091	  0.010
           1224	 -0.464	 73.190	 -0.016	  0.133	 -0.108	 -0.088	  0.003
           1225	 -0.456	 72.870	 -0.013	  0.136	 -0.108	 -0.085	  0.003
           1226	 -0.472	 72.763	 -0.015	  0.139	 -0.107	 -0.087	 -0.007
           1227	 -0.436	 72.763	 -0.013	  0.145	 -0.106	 -0.087	 -0.008
           1228	 -0.418	 72.656	 -0.012	  0.149	 -0.106	 -0.091	  0.004
           1229	 -0.420	 72.336	 -0.013	  0.152	 -0.105	 -0.094	  0.003
           1230	 -0.404	 72.123	 -0.010	  0.155	 -0.104	 -0.097	  0.004
           1231	 -0.426	 72.016	 -0.007	  0.159	 -0.103	 -0.097	  0.004
           1232	 -0.400	 71.803	 -0.005	  0.164	 -0.102	 -0.094	  0.004
           1233	 -0.384	 71.590	 -0.009	  0.169	 -0.102	 -0.088	  0.005
           1234	 -0.384	 71.483	 -0.001	  0.173	 -0.101	 -0.090	  0.008
           1235	 -0.376	 71.163	  0.000	  0.177	 -0.100	 -0.094	  0.018
           1236	 -0.366	 71.056	  0.007	  0.185	 -0.100	 -0.097	  0.003
           1237	 -0.382	 70.843	  0.003	  0.188	 -0.099	 -0.098	  0.003
           1238	 -0.412	 70.736	  0.004	  0.193	 -0.098	 -0.099	 -0.002
           1239	 -0.360	 70.629	 -0.000	  0.197	 -0.097	 -0.098	 -0.004
           1240	 -0.364	 70.309	  0.006	  0.205	 -0.096	 -0.098	  0.003
           1241	 -0.310	 70.203	 -0.001	  0.209	 -0.095	 -0.102	  0.004
           1242	 -0.352	 70.203	  0.005	  0.213	 -0.094	 -0.102	  0.004
           1243	 -0.326	 70.203	 -0.004	  0.217	 -0.093	 -0.101	  0.005
           1244	 -0.310	 70.096	 -0.003	  0.220	 -0.093	 -0.098	  0.008
           1245	 -0.314	 70.203	 -0.002	  0.224	 -0.092	 -0.098	  0.003
           1246	 -0.318	 70.203	 -0.008	  0.228	 -0.092	 -0.099	  0.005
           1247	 -0.306	 70.203	 -0.011	  0.235	 -0.091	 -0.100	 -0.001
           1248	 -0.294	 70.309	 -0.016	  0.239	 -0.090	 -0.102	  0.007
           1249	 -0.288	 70.629	 -0.015	  0.246	 -0.090	 -0.103	  0.025
           1250	 -0.284	 71.056	 -0.010	  0.251	 -0.089	 -0.100	  0.006
           1251	 -0.308	 72.016	 -0.009	  0.257	 -0.088	 -0.100	  0.012
           1252	 -0.280	 72.977	 -0.008	  0.262	 -0.088	 -0.097	 -0.000
           1253	 -0.280	 74.257	 -0.010	  0.264	 -0.087	 -0.094	  0.001
           1254	 -0.268	 75.644	 -0.006	  0.269	 -0.087	 -0.091	  0.001
           1255	 -0.248	 77.458	 -0.012	  0.273	 -0.086	 -0.091	  0.002
           1256	 -0.256	 79.485	 -0.008	  0.278	 -0.085	 -0.094	  0.002
           1257	 -0.230	 81.832	 -0.004	  0.283	 -0.084	 -0.095	  0.005
           1258	 -0.192	 84.072	  0.001	  0.288	 -0.084	 -0.097	  0.003
           1259	 -0.202	 86.740	  0.007	  0.291	 -0.083	 -0.099	  0.004
           1260	 -0.214	 89.407	 -0.007	  0.294	 -0.082	 -0.098	  0.008
           1261	 -0.208	 92.288	  0.007	  0.300	 -0.081	 -0.098	  0.008
           1262	 -0.202	 94.955	  0.002	  0.304	 -0.080	 -0.103	  0.007
           1263	 -0.146	 98.049	  0.002	  0.309	 -0.080	 -0.104	  0.008
           1264	 -0.128	101.143	  0.007	  0.312	 -0.079	 -0.105	 -0.005
           1265	 -0.114	104.237	  0.009	  0.318	 -0.078	 -0.105	 -0.001
           1266	 -0.102	107.331	  0.010	  0.321	 -0.077	 -0.103	  0.002
           1267	 -0.108	110.212	  0.004	  0.325	 -0.076	 -0.100	  0.007
           1268	 -0.106	113.092	  0.006	  0.330	 -0.075	 -0.103	  0.007
           1269	 -0.096	115.760	 -0.003	  0.336	 -0.075	 -0.104	  0.004
           1270	 -0.094	118.320	  0.003	  0.339	 -0.075	 -0.103	  0.006
           1271	 -0.088	120.667	 -0.000	  0.344	 -0.074	 -0.105	  0.002
           1272	 -0.102	122.801	  0.002	  0.350	 -0.074	 -0.103	  0.034
           1273	 -0.084	124.722	 -0.002	  0.352	 -0.073	 -0.104	 -0.003
           1274	 -0.112	126.322	  0.000	  0.358	 -0.072	 -0.105	  0.010
           1275	 -0.080	127.602	 -0.001	  0.361	 -0.072	 -0.104	 -0.002
           1276	 -0.094	128.776	 -0.000	  0.366	 -0.070	 -0.103	 -0.002
           1277	 -0.136	129.736	  0.006	  0.371	 -0.069	 -0.099	  0.002
           1278	 -0.114	130.269	  0.007	  0.377	 -0.068	 -0.097	  0.001
           1279	 -0.148	130.803	  0.005	  0.381	 -0.067	 -0.095	  0.002
           1280	 -0.144	131.016	  0.008	  0.384	 -0.066	 -0.095	  0.022
           1281	 -0.142	131.230	  0.012	  0.390	 -0.066	 -0.096	  0.002
           1282	 -0.168	131.230	  0.011	  0.395	 -0.066	 -0.099	  0.006
           1283	 -0.172	130.803	  0.003	  0.401	 -0.065	 -0.100	 -0.002
           1284	 -0.192	130.590	  0.009	  0.405	 -0.064	 -0.100	  0.004
           1285	 -0.196	130.163	  0.004	  0.409	 -0.063	 -0.100	  0.003
           1286	 -0.228	129.629	 -0.000	  0.414	 -0.062	 -0.097	  0.001
           1287	 -0.220	129.096	  0.001	  0.418	 -0.061	 -0.097	  0.005
           1288	 -0.236	128.456	  0.000	  0.422	 -0.060	 -0.096	  0.001
           1289	 -0.248	127.922	 -0.001	  0.426	 -0.059	 -0.097	  0.001
           1290	 -0.226	127.175	 -0.003	  0.431	 -0.058	 -0.096	  0.005
           1291	 -0.274	126.429	 -0.004	  0.437	 -0.058	 -0.095	  0.004
           1292	 -0.264	125.682	 -0.007	  0.443	 -0.056	 -0.095	  0.004
           1293	 -0.260	125.042	 -0.011	  0.457	 -0.055	 -0.095	  0.008
           1294	 -0.266	124.188	 -0.004	  0.451	 -0.054	 -0.098	  0.017
           1295	 -0.256	123.548	 -0.002	  0.456	 -0.053	 -0.099	  0.006
           1296	 -0.272	122.801	  0.000	  0.456	 -0.053	 -0.101	  0.005
           1297	 -0.312	122.161	 -0.004	  0.460	 -0.053	 -0.101	 -0.006
           1298	 -0.290	121.414	 -0.006	  0.464	 -0.052	 -0.098	 -0.005
           1299	 -0.280	120.881	 -0.004	  0.467	 -0.052	 -0.099	  0.001
           1300	 -0.252	120.134	 -0.002	  0.470	 -0.051	 -0.096	  0.005
           1301	 -0.246	119.387	 -0.000	  0.476	 -0.050	 -0.098	  0.002
           1302	 -0.266	118.854	 -0.004	  0.480	 -0.049	 -0.098	  0.005
           1303	 -0.278	118.213	  0.006	  0.484	 -0.049	 -0.098	  0.005
           1304	 -0.280	117.467	 -0.000	  0.489	 -0.047	 -0.100	 -0.001
           1305	 -0.262	116.826	  0.001	  0.492	 -0.047	 -0.101	  0.007
           1306	 -0.274	116.293	 -0.000	  0.494	 -0.045	 -0.103	  0.001
           1307	 -0.280	115.653	  0.001	  0.496	 -0.044	 -0.105	 -0.007
           1308	 -0.272	115.013	 -0.000	  0.499	 -0.043	 -0.103	 -0.003
           1309	 -0.278	114.266	 -0.002	  0.501	 -0.043	 -0.101	  0.003
           1310	 -0.304	113.626	 -0.000	  0.502	 -0.042	 -0.100	  0.004
           1311	 -0.290	112.986	 -0.005	  0.506	 -0.041	 -0.097	  0.011
           1312	 -0.300	112.239	 -0.000	  0.506	 -0.040	 -0.097	 -0.001
           1313	 -0.272	111.492	 -0.002	  0.512	 -0.039	 -0.097	  0.001
           1314	 -0.256	110.638	 -0.003	  0.513	 -0.038	 -0.096	 -0.004
           1315	 -0.252	109.465	 -0.001	  0.515	 -0.036	 -0.097	 -0.003
           1316	 -0.260	108.398	 -0.001	  0.516	 -0.035	 -0.097	  0.001
           1317	 -0.262	107.331	  0.001	  0.519	 -0.034	 -0.098	  0.006
           1318	 -0.238	106.051	  0.006	  0.522	 -0.033	 -0.100	  0.004
           1319	 -0.216	104.557	  0.002	  0.525	 -0.032	 -0.102	  0.005
           1320	 -0.226	103.277	  0.003	  0.530	 -0.031	 -0.102	 -0.001
           1321	 -0.242	101.570	  0.000	  0.532	 -0.031	 -0.103	  0.005
           1322	 -0.216	100.076	 -0.015	  0.535	 -0.029	 -0.105	  0.004
           1323	 -0.224	 98.369	 -0.004	  0.536	 -0.029	 -0.104	  0.001
           1324	 -0.224	 96.982	 -0.004	  0.540	 -0.027	 -0.104	  0.030
           1325	 -0.228	 95.382	 -0.007	  0.542	 -0.026	 -0.103	  0.001
           1326	 -0.256	 94.101	  0.001	  0.544	 -0.025	 -0.099	  0.012
           1327	 -0.196	 92.821	  0.002	  0.547	 -0.023	 -0.099	 -0.011
           1328	 -0.222	 91.754	  0.000	  0.551	 -0.022	 -0.100	  0.004
           1329	 -0.172	 90.474	 -0.008	  0.553	 -0.021	 -0.102	 -0.003
           1330	 -0.180	 89.514	 -0.006	  0.554	 -0.020	 -0.101	 -0.003
           1331	 -0.160	 88.980	 -0.000	  0.557	 -0.018	 -0.096	 -0.003
           1332	 -0.202	 88.233	 -0.008	  0.560	 -0.017	 -0.094	  0.006
           1333	 -0.204	 87.700	 -0.003	  0.562	 -0.016	 -0.095	  0.002
           1334	 -0.194	 87.273	  0.001	  0.565	 -0.014	 -0.098	  0.005
           1335	 -0.184	 87.166	 -0.007	  0.566	 -0.013	 -0.103	 -0.008
           1336	 -0.184	 87.060	  0.003	  0.570	 -0.013	 -0.104	  0.019
           1337	 -0.180	 86.846	  0.007	  0.571	 -0.011	 -0.105	 -0.009
           1338	 -0.188	 87.166	 -0.008	  0.575	 -0.010	 -0.102	  0.011
           1339	 -0.208	 87.273	 -0.001	  0.578	 -0.009	 -0.104	  0.004
           1340	 -0.178	 87.380	 -0.001	  0.581	 -0.007	 -0.102	 -0.004
           1341	 -0.208	 87.807	 -0.000	  0.581	 -0.006	 -0.103	  0.004
           1342	 -0.138	 88.127	 -0.003	  0.582	 -0.006	 -0.105	 -0.000
           1343	 -0.196	 88.553	 -0.009	  0.583	 -0.005	 -0.100	 -0.001
           1344	 -0.152	 88.767	  0.001	  0.585	 -0.004	 -0.100	  0.023
           1345	 -0.196	 89.407	 -0.018	  0.590	 -0.004	 -0.095	 -0.002
           1346	 -0.172	 89.834	  0.001	  0.591	 -0.003	 -0.092	 -0.004
           1347	 -0.186	 90.154	 -0.006	  0.594	 -0.002	 -0.093	  0.007
           1348	 -0.172	 90.580	  0.009	  0.593	 -0.002	 -0.096	 -0.010
           1349	 -0.144	 91.007	 -0.003	  0.595	 -0.001	 -0.097	  0.012
           1350	 -0.190	 91.327	  0.001	  0.595	 -0.000	 -0.100	  0.012
           1351	 -0.196	 91.541	  0.003	  0.597	 -0.000	 -0.105	 -0.002
           1352	 -0.172	 91.967	 -0.023	  0.599	  0.001	 -0.107	  0.011
           1353	 -0.202	 91.967	  0.010	  0.599	  0.002	 -0.108	 -0.011
           1354	 -0.194	 92.074	 -0.013	  0.601	  0.003	 -0.108	  0.003
           1355	 -0.176	 92.394	  0.014	  0.602	  0.004	 -0.108	 -0.003
           1356	 -0.180	 92.394	 -0.004	  0.603	  0.005	 -0.107	 -0.007
           1357	 -0.224	 92.608	  0.003	  0.602	  0.006	 -0.106	  0.001
           1358	 -0.180	 92.394	 -0.015	  0.603	  0.007	 -0.103	  0.005
           1359	 -0.186	 92.501	  0.026	  0.602	  0.007	 -0.100	  0.026
           1360	 -0.194	 92.394	 -0.005	  0.602	  0.008	 -0.100	 -0.005
           1361	 -0.172	 92.394	  0.005	  0.604	  0.009	 -0.100	  0.011
           1362	 -0.176	 92.074	  0.006	  0.605	  0.009	 -0.105	 -0.009
           1363	 -0.200	 91.967	  0.020	  0.608	  0.010	 -0.109	 -0.007
           1364	 -0.156	 91.861	 -0.031	  0.608	  0.011	 -0.111	  0.006
           1365	 -0.156	 91.541	  0.043	  0.609	  0.012	 -0.109	  0.002
           1366	 -0.172	 91.221	 -0.012	  0.610	  0.013	 -0.108	  0.008
           1367	 -0.138	 91.007	  0.007	  0.612	  0.014	 -0.103	 -0.001
           1368	 -0.106	 90.687	  0.014	  0.610	  0.015	 -0.099	 -0.000
           1369	 -0.088	 90.260	 -0.026	  0.609	  0.016	 -0.097	  0.002
           1370	 -0.104	 90.154	 -0.002	  0.608	  0.018	 -0.100	  0.026
           1371	 -0.088	 89.620	 -0.038	  0.608	  0.018	 -0.101	 -0.004
           1372	 -0.090	 89.407	  0.008	  0.608	  0.019	 -0.101	  0.007
           1373	 -0.070	 88.980	  0.011	  0.608	  0.020	 -0.103	  0.006
           1374	 -0.040	 88.553	  0.015	  0.607	  0.021	 -0.103	 -0.001
           1375	 -0.002	 88.127	  0.005	  0.605	  0.022	 -0.107	  0.009
           1376	 -0.008	 87.807	  0.007	  0.608	  0.023	 -0.116	  0.015
           1377	  0.028	 87.380	  0.006	  0.605	  0.023	 -0.121	 -0.005
           1378	  0.016	 86.953	  0.004	  0.604	  0.025	 -0.118	  0.013
           1379	  0.032	 86.420	 -0.037	  0.603	  0.025	 -0.117	  0.002
           1380	  0.056	 86.099	  0.016	  0.604	  0.027	 -0.114	 -0.002
           1381	 -0.002	 85.779	 -0.005	  0.604	  0.028	 -0.115	  0.000
           1382	  0.014	 85.353	 -0.003	  0.604	  0.028	 -0.121	  0.004
           1383	  0.004	 84.926	  0.005	  0.603	  0.029	 -0.125	  0.022
           1384	  0.002	 84.499	  0.012	  0.604	  0.029	 -0.126	  0.001
           1385	 -0.030	 83.966	 -0.014	  0.602	  0.031	 -0.124	  0.005
           1386	 -0.084	 83.646	  0.008	  0.607	  0.031	 -0.120	 -0.010
           1387	 -0.116	 83.219	 -0.003	  0.603	  0.032	 -0.119	  0.019
           1388	 -0.176	 82.792	 -0.012	  0.604	  0.033	 -0.116	 -0.007
           1389	 -0.220	 82.579	 -0.003	  0.603	  0.034	 -0.111	  0.015
