'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'[02:14:13.924 20/01/1989]',0.040,63.209,-0.005,-0.023
'[02:14:13.928 20/01/1989]',0.040,62.372,-0.006,-0.016
'[02:14:13.932 20/01/1989]',0.035,61.744,-0.009,-0.012
'[02:14:13.936 20/01/1989]',0.035,61.116,-0.010,-0.012
'[02:14:13.940 20/01/1989]',0.040,60.907,-0.011,-0.004
'[02:14:13.944 20/01/1989]',0.040,59.651,-0.014,-0.017
'[02:14:13.948 20/01/1989]',0.030,60.070,-0.014,-0.014
'[02:14:13.952 20/01/1989]',0.045,59.442,-0.014,-0.023
'[02:14:13.956 20/01/1989]',0.055,58.814,-0.010,-0.006
'[02:14:13.960 20/01/1989]',0.055,57.977,-0.010,-0.009
'[02:14:13.964 20/01/1989]',0.055,57.558,-0.012,0.003
'[02:14:13.968 20/01/1989]',0.040,57.349,-0.014,0.001
'[02:14:13.972 20/01/1989]',0.045,57.140,-0.014,0.020
'[02:14:13.976 20/01/1989]',0.055,57.140,-0.018,0.023
'[02:14:13.980 20/01/1989]',0.045,56.302,-0.019,0.033
'[02:14:13.984 20/01/1989]',0.040,55.674,-0.016,0.029
'[02:14:13.988 20/01/1989]',0.045,55.884,-0.019,0.039
'[02:14:13.992 20/01/1989]',0.055,55.674,-0.019,0.028
'[02:14:13.996 20/01/1989]',0.045,55.256,-0.018,0.028
'[02:14:14.000 20/01/1989]',0.045,55.465,-0.015,0.028
'[02:14:14.004 20/01/1989]',0.060,55.465,-0.017,0.023
'[02:14:14.008 20/01/1989]',0.040,55.465,-0.018,0.036
'[02:14:14.012 20/01/1989]',0.060,55.465,-0.017,0.039
'[02:14:14.016 20/01/1989]',0.060,55.465,-0.017,0.054
'[02:14:14.020 20/01/1989]',0.040,55.465,-0.018,0.057
'[02:14:14.024 20/01/1989]',0.045,55.465,-0.017,0.068
'[02:14:14.028 20/01/1989]',0.045,55.465,-0.019,0.071
'[02:14:14.032 20/01/1989]',0.040,56.302,-0.022,0.080
'[02:14:14.036 20/01/1989]',0.035,56.093,-0.023,0.070
'[02:14:14.040 20/01/1989]',0.045,56.302,-0.022,0.077
'[02:14:14.044 20/01/1989]',0.040,56.721,-0.022,0.064
'[02:14:14.048 20/01/1989]',0.050,56.302,-0.023,0.071
'[02:14:14.052 20/01/1989]',0.060,56.721,-0.024,0.065
'[02:14:14.056 20/01/1989]',0.050,56.721,-0.024,0.080
'[02:14:14.060 20/01/1989]',0.055,56.930,-0.026,0.081
'[02:14:14.064 20/01/1989]',0.065,56.302,-0.025,0.093
'[02:14:14.068 20/01/1989]',0.055,56.721,-0.027,0.104
'[02:14:14.072 20/01/1989]',0.060,57.140,-0.028,0.117
'[02:14:14.076 20/01/1989]',0.060,57.140,-0.028,0.120
'[02:14:14.080 20/01/1989]',0.060,57.558,-0.029,0.133
'[02:14:14.084 20/01/1989]',0.080,57.558,-0.028,0.123
'[02:14:14.088 20/01/1989]',0.070,57.977,-0.028,0.130
'[02:14:14.092 20/01/1989]',0.075,58.186,-0.030,0.116
'[02:14:14.096 20/01/1989]',0.070,57.977,-0.027,0.117
'[02:14:14.100 20/01/1989]',0.060,58.186,-0.025,0.117
'[02:14:14.104 20/01/1989]',0.080,58.814,-0.026,0.122
'[02:14:14.108 20/01/1989]',0.075,58.395,-0.026,0.130
'[02:14:14.112 20/01/1989]',0.080,58.186,-0.027,0.130
'[02:14:14.116 20/01/1989]',0.080,58.395,-0.025,0.145
'[02:14:14.120 20/01/1989]',0.080,58.814,-0.026,0.145
'[02:14:14.124 20/01/1989]',0.085,58.814,-0.024,0.151
'[02:14:14.128 20/01/1989]',0.080,58.605,-0.023,0.157
'[02:14:14.132 20/01/1989]',0.080,58.814,-0.025,0.167
'[02:14:14.136 20/01/1989]',0.070,59.233,-0.025,0.155
'[02:14:14.140 20/01/1989]',0.075,58.814,-0.021,0.157
'[02:14:14.144 20/01/1989]',0.075,58.395,-0.024,0.145
'[02:14:14.148 20/01/1989]',0.080,58.814,-0.026,0.157
'[02:14:14.152 20/01/1989]',0.080,58.395,-0.026,0.148
'[02:14:14.156 20/01/1989]',0.075,58.605,-0.027,0.162
'[02:14:14.160 20/01/1989]',0.090,58.605,-0.027,0.167
'[02:14:14.164 20/01/1989]',0.080,58.605,-0.029,0.186
'[02:14:14.168 20/01/1989]',0.085,58.186,-0.030,0.186
'[02:14:14.172 20/01/1989]',0.085,57.767,-0.030,0.204
'[02:14:14.176 20/01/1989]',0.085,57.977,-0.033,0.210
'[02:14:14.180 20/01/1989]',0.090,57.558,-0.034,0.222
'[02:14:14.184 20/01/1989]',0.090,57.558,-0.031,0.210
'[02:14:14.188 20/01/1989]',0.095,57.767,-0.033,0.216
'[02:14:14.192 20/01/1989]',0.095,57.558,-0.032,0.214
'[02:14:14.196 20/01/1989]',0.095,56.930,-0.028,0.214
'[02:14:14.200 20/01/1989]',0.080,57.140,-0.025,0.212
'[02:14:14.204 20/01/1989]',0.080,56.721,-0.026,0.219
'[02:14:14.208 20/01/1989]',0.085,56.930,-0.026,0.226
'[02:14:14.212 20/01/1989]',0.095,56.302,-0.021,0.236
'[02:14:14.216 20/01/1989]',0.095,56.302,-0.019,0.243
'[02:14:14.220 20/01/1989]',0.100,56.093,-0.015,0.252
'[02:14:14.224 20/01/1989]',0.105,55.884,-0.012,0.261
'[02:14:14.228 20/01/1989]',0.115,55.465,-0.010,0.265
'[02:14:14.232 20/01/1989]',0.090,55.465,-0.010,0.274
'[02:14:14.236 20/01/1989]',0.100,55.046,-0.011,0.264
'[02:14:14.240 20/01/1989]',0.100,54.837,-0.011,0.267
'[02:14:14.244 20/01/1989]',0.120,54.628,-0.010,0.252
'[02:14:14.248 20/01/1989]',0.130,54.419,-0.016,0.262
'[02:14:14.252 20/01/1989]',0.130,54.419,-0.019,0.262
'[02:14:14.256 20/01/1989]',0.140,53.791,-0.021,0.278
'[02:14:14.260 20/01/1989]',0.145,54.000,-0.021,0.286
'[02:14:14.264 20/01/1989]',0.135,53.372,-0.024,0.296
'[02:14:14.268 20/01/1989]',0.140,52.953,-0.025,0.301
'[02:14:14.272 20/01/1989]',0.135,52.953,-0.025,0.312
'[02:14:14.276 20/01/1989]',0.125,52.326,-0.025,0.313
'[02:14:14.280 20/01/1989]',0.125,52.116,-0.025,0.314
'[02:14:14.284 20/01/1989]',0.120,52.116,-0.025,0.313
'[02:14:14.288 20/01/1989]',0.100,52.116,-0.025,0.306
'[02:14:14.292 20/01/1989]',0.100,51.907,-0.029,0.299
'[02:14:14.296 20/01/1989]',0.095,51.070,-0.027,0.303
'[02:14:14.300 20/01/1989]',0.080,51.279,-0.026,0.300
'[02:14:14.304 20/01/1989]',0.080,50.860,-0.028,0.313
'[02:14:14.308 20/01/1989]',0.080,50.860,-0.028,0.313
'[02:14:14.312 20/01/1989]',0.060,50.442,-0.027,0.319
'[02:14:14.316 20/01/1989]',0.070,49.814,-0.024,0.330
'[02:14:14.320 20/01/1989]',0.070,50.651,-0.023,0.336
'[02:14:14.324 20/01/1989]',0.060,49.814,-0.020,0.341
'[02:14:14.328 20/01/1989]',0.075,49.605,-0.019,0.338
'[02:14:14.332 20/01/1989]',0.065,49.395,-0.017,0.339
'[02:14:14.336 20/01/1989]',0.070,49.605,-0.014,0.333
'[02:14:14.340 20/01/1989]',0.065,48.767,-0.010,0.341
'[02:14:14.344 20/01/1989]',0.075,48.349,-0.007,0.329
'[02:14:14.348 20/01/1989]',0.070,48.140,-0.006,0.342
'[02:14:14.352 20/01/1989]',0.070,48.140,-0.002,0.336
'[02:14:14.356 20/01/1989]',0.075,47.930,0.000,0.351
'[02:14:14.360 20/01/1989]',0.080,47.930,0.003,0.349
'[02:14:14.364 20/01/1989]',0.090,47.930,0.003,0.365
'[02:14:14.368 20/01/1989]',0.095,47.093,-0.000,0.377
'[02:14:14.372 20/01/1989]',0.080,47.512,-0.002,0.388
'[02:14:14.376 20/01/1989]',0.085,47.093,-0.005,0.378
'[02:14:14.380 20/01/1989]',0.080,46.674,-0.009,0.394
'[02:14:14.384 20/01/1989]',0.115,46.674,-0.009,0.378
'[02:14:14.388 20/01/1989]',0.140,46.674,-0.013,0.381
'[02:14:14.392 20/01/1989]',0.200,46.256,-0.015,0.377
'[02:14:14.396 20/01/1989]',0.310,46.046,-0.014,0.380
'[02:14:14.400 20/01/1989]',0.460,45.628,-0.009,0.380
'[02:14:14.404 20/01/1989]',0.640,46.046,-0.006,0.388
'[02:14:14.408 20/01/1989]',0.820,45.837,-0.007,0.404
'[02:14:14.412 20/01/1989]',0.895,45.000,-0.009,0.413
'[02:14:14.416 20/01/1989]',0.780,45.000,-0.019,0.423
'[02:14:14.420 20/01/1989]',0.510,45.209,-0.033,0.428
'[02:14:14.424 20/01/1989]',0.155,45.000,-0.046,0.428
'[02:14:14.428 20/01/1989]',-0.160,44.581,-0.052,0.429
'[02:14:14.432 20/01/1989]',-0.280,44.581,-0.059,0.423
'[02:14:14.436 20/01/1989]',-0.290,44.581,-0.055,0.417
'[02:14:14.440 20/01/1989]',-0.205,44.372,-0.049,0.429
'[02:14:14.444 20/01/1989]',-0.095,44.372,-0.042,0.423
'[02:14:14.448 20/01/1989]',-0.030,44.372,-0.038,0.432
'[02:14:14.452 20/01/1989]',-0.005,43.953,-0.029,0.429
'[02:14:14.456 20/01/1989]',0.030,43.953,-0.021,0.442
'[02:14:14.460 20/01/1989]',0.045,43.326,-0.014,0.446
'[02:14:14.464 20/01/1989]',0.065,43.535,-0.008,0.461
'[02:14:14.468 20/01/1989]',0.080,43.326,-0.005,0.465
'[02:14:14.472 20/01/1989]',0.090,42.907,-0.002,0.481
'[02:14:14.476 20/01/1989]',0.085,43.535,-0.000,0.475
'[02:14:14.480 20/01/1989]',0.085,42.907,-0.001,0.477
'[02:14:14.484 20/01/1989]',0.080,42.698,-0.000,0.465
'[02:14:14.488 20/01/1989]',0.075,42.907,-0.000,0.474
'[02:14:14.492 20/01/1989]',0.080,42.488,-0.006,0.477
'[02:14:14.496 20/01/1989]',0.095,42.907,-0.007,0.478
'[02:14:14.500 20/01/1989]',0.100,42.488,-0.009,0.475
'[02:14:14.504 20/01/1989]',0.100,42.907,-0.015,0.477
'[02:14:14.508 20/01/1989]',0.100,42.698,-0.022,0.494
'[02:14:14.512 20/01/1989]',0.100,42.070,-0.024,0.504
'[02:14:14.516 20/01/1989]',0.100,42.907,-0.028,0.504
'[02:14:14.520 20/01/1989]',0.100,42.488,-0.032,0.517
'[02:14:14.524 20/01/1989]',0.100,42.698,-0.033,0.510
'[02:14:14.528 20/01/1989]',0.100,42.279,-0.035,0.513
'[02:14:14.532 20/01/1989]',0.100,42.279,-0.039,0.510
'[02:14:14.536 20/01/1989]',0.110,42.070,-0.038,0.512
'[02:14:14.540 20/01/1989]',0.110,42.279,-0.038,0.513
'[02:14:14.544 20/01/1989]',0.110,42.070,-0.038,0.516
'[02:14:14.548 20/01/1989]',0.110,42.698,-0.040,0.514
'[02:14:14.552 20/01/1989]',0.115,42.070,-0.038,0.522
'[02:14:14.556 20/01/1989]',0.115,42.070,-0.033,0.538
'[02:14:14.560 20/01/1989]',0.130,41.651,-0.031,0.533
'[02:14:14.564 20/01/1989]',0.120,42.279,-0.027,0.555
'[02:14:14.568 20/01/1989]',0.135,41.860,-0.023,0.561
'[02:14:14.572 20/01/1989]',0.130,42.070,-0.019,0.577
'[02:14:14.576 20/01/1989]',0.135,41.651,-0.015,0.572
'[02:14:14.580 20/01/1989]',0.140,41.233,-0.008,0.577
'[02:14:14.584 20/01/1989]',0.145,41.233,-0.003,0.565
'[02:14:14.588 20/01/1989]',0.160,41.233,0.004,0.561
'[02:14:14.592 20/01/1989]',0.160,41.442,0.010,0.557
'[02:14:14.596 20/01/1989]',0.160,41.233,0.017,0.562
'[02:14:14.600 20/01/1989]',0.160,41.651,0.026,0.571
'[02:14:14.604 20/01/1989]',0.160,42.279,0.027,0.583
'[02:14:14.608 20/01/1989]',0.160,43.535,0.030,0.586
'[02:14:14.612 20/01/1989]',0.165,44.372,0.033,0.597
'[02:14:14.616 20/01/1989]',0.180,46.046,0.035,0.610
'[02:14:14.620 20/01/1989]',0.185,48.349,0.035,0.619
'[02:14:14.624 20/01/1989]',0.180,50.442,0.035,0.614
'[02:14:14.628 20/01/1989]',0.200,52.744,0.035,0.597
'[02:14:14.632 20/01/1989]',0.195,55.465,0.029,0.600
'[02:14:14.636 20/01/1989]',0.200,57.977,0.025,0.594
'[02:14:14.640 20/01/1989]',0.200,60.488,0.022,0.607
'[02:14:14.644 20/01/1989]',0.210,62.791,0.016,0.606
'[02:14:14.648 20/01/1989]',0.200,65.512,0.010,0.622
'[02:14:14.652 20/01/1989]',0.210,68.860,0.007,0.619
'[02:14:14.656 20/01/1989]',0.205,71.372,0.004,0.623
'[02:14:14.660 20/01/1989]',0.220,74.093,0.001,0.632
'[02:14:14.664 20/01/1989]',0.230,77.233,-0.003,0.658
'[02:14:14.668 20/01/1989]',0.220,79.744,-0.007,0.642
'[02:14:14.672 20/01/1989]',0.230,82.256,-0.010,0.665
'[02:14:14.676 20/01/1989]',0.210,84.349,-0.012,0.635
'[02:14:14.680 20/01/1989]',0.215,86.233,-0.010,0.655
'[02:14:14.684 20/01/1989]',0.200,88.535,-0.008,0.630
'[02:14:14.688 20/01/1989]',0.215,90.419,-0.006,0.639
'[02:14:14.692 20/01/1989]',0.205,91.674,-0.005,0.639
'[02:14:14.696 20/01/1989]',0.195,93.139,0.001,0.639
'[02:14:14.700 20/01/1989]',0.190,93.977,0.007,0.655
'[02:14:14.704 20/01/1989]',0.180,95.442,0.008,0.668
'[02:14:14.708 20/01/1989]',0.160,96.279,0.009,0.662
'[02:14:14.712 20/01/1989]',0.145,96.698,0.014,0.672
'[02:14:14.716 20/01/1989]',0.140,96.907,0.013,0.678
'[02:14:14.720 20/01/1989]',0.140,97.953,0.012,0.672
'[02:14:14.724 20/01/1989]',0.120,97.744,0.012,0.667
'[02:14:14.728 20/01/1989]',0.105,98.163,0.008,0.658
'[02:14:14.732 20/01/1989]',0.100,97.744,0.003,0.667
'[02:14:14.736 20/01/1989]',0.075,97.326,-0.001,0.658
'[02:14:14.740 20/01/1989]',0.060,97.326,-0.005,0.671
'[02:14:14.744 20/01/1989]',0.050,96.279,-0.010,0.672
'[02:14:14.748 20/01/1989]',0.040,95.442,-0.016,0.696
'[02:14:14.752 20/01/1989]',0.045,93.977,-0.019,0.693
'[02:14:14.756 20/01/1989]',0.015,93.558,-0.022,0.701
'[02:14:14.760 20/01/1989]',0.020,92.302,-0.024,0.706
'[02:14:14.764 20/01/1989]',0.005,90.628,-0.025,0.726
'[02:14:14.768 20/01/1989]',0.020,89.581,-0.027,0.712
'[02:14:14.772 20/01/1989]',0.005,87.698,-0.027,0.722
'[02:14:14.776 20/01/1989]',0.010,87.070,-0.027,0.714
'[02:14:14.780 20/01/1989]',0.015,85.605,-0.026,0.710
'[02:14:14.784 20/01/1989]',-0.000,84.139,-0.023,0.712
'[02:14:14.788 20/01/1989]',-0.000,83.512,-0.023,0.713
'[02:14:14.792 20/01/1989]',0.005,81.628,-0.022,0.713
'[02:14:14.796 20/01/1989]',-0.000,80.581,-0.019,0.725
'[02:14:14.800 20/01/1989]',0.005,79.326,-0.017,0.739
'[02:14:14.804 20/01/1989]',-0.000,78.488,-0.018,0.742
'[02:14:14.808 20/01/1989]',0.025,77.233,-0.017,0.754
'[02:14:14.812 20/01/1989]',0.015,75.767,-0.013,0.757
'[02:14:14.816 20/01/1989]',0.015,75.139,-0.011,0.764
'[02:14:14.820 20/01/1989]',0.010,74.512,-0.010,0.759
'[02:14:14.824 20/01/1989]',0.015,73.674,-0.006,0.764
'[02:14:14.828 20/01/1989]',0.015,72.837,-0.007,0.752
'[02:14:14.832 20/01/1989]',0.015,71.791,-0.010,0.755
'[02:14:14.836 20/01/1989]',0.025,71.372,-0.012,0.748
'[02:14:14.840 20/01/1989]',0.020,70.116,-0.014,0.764
'[02:14:14.844 20/01/1989]',0.035,69.698,-0.020,0.755
'[02:14:14.848 20/01/1989]',0.015,68.860,-0.027,0.771
'[02:14:14.852 20/01/1989]',0.040,68.442,-0.030,0.767
'[02:14:14.856 20/01/1989]',0.015,67.605,-0.033,0.778
'[02:14:14.860 20/01/1989]',0.035,66.767,-0.036,0.775
'[02:14:14.864 20/01/1989]',0.020,66.140,-0.039,0.783
'[02:14:14.868 20/01/1989]',0.015,65.093,-0.039,0.765
'[02:14:14.872 20/01/1989]',0.050,64.674,-0.041,0.771
'[02:14:14.876 20/01/1989]',0.040,63.837,-0.039,0.758
'[02:14:14.880 20/01/1989]',0.045,63.000,-0.038,0.762
'[02:14:14.884 20/01/1989]',0.035,62.372,-0.036,0.755
'[02:14:14.888 20/01/1989]',0.050,62.163,-0.035,0.755
'[02:14:14.892 20/01/1989]',0.055,61.535,-0.034,0.755
'[02:14:14.896 20/01/1989]',0.050,60.488,-0.032,0.761
'[02:14:14.900 20/01/1989]',0.045,60.488,-0.027,0.770
'[02:14:14.904 20/01/1989]',0.055,59.651,-0.029,0.783
'[02:14:14.908 20/01/1989]',0.040,59.233,-0.029,0.793
'[02:14:14.912 20/01/1989]',0.035,58.814,-0.028,0.793
'[02:14:14.916 20/01/1989]',0.050,58.186,-0.028,0.788
'[02:14:14.920 20/01/1989]',0.055,58.186,-0.026,0.794
'[02:14:14.924 20/01/1989]',0.040,57.349,-0.025,0.793
'[02:14:14.928 20/01/1989]',0.030,57.140,-0.025,0.783
'[02:14:14.932 20/01/1989]',0.045,56.302,-0.027,0.778
'[02:14:14.936 20/01/1989]',0.050,56.512,-0.030,0.781
'[02:14:14.940 20/01/1989]',0.030,56.302,-0.031,0.799
'[02:14:14.944 20/01/1989]',0.050,55.884,-0.038,0.794
'[02:14:14.948 20/01/1989]',0.040,56.302,-0.045,0.803
'[02:14:14.952 20/01/1989]',0.060,55.884,-0.052,0.812
'[02:14:14.956 20/01/1989]',0.050,55.674,-0.054,0.814
'[02:14:14.960 20/01/1989]',0.060,55.256,-0.058,0.825
'[02:14:14.964 20/01/1989]',0.040,55.465,-0.059,0.832
'[02:14:14.968 20/01/1989]',0.055,55.465,-0.059,0.829
'[02:14:14.972 20/01/1989]',0.060,55.465,-0.058,0.835
'[02:14:14.976 20/01/1989]',0.045,55.256,-0.056,0.822
'[02:14:14.980 20/01/1989]',0.050,55.465,-0.057,0.826
'[02:14:14.984 20/01/1989]',0.040,55.884,-0.056,0.812
'[02:14:14.988 20/01/1989]',0.060,56.302,-0.058,0.832
'[02:14:14.992 20/01/1989]',0.045,56.093,-0.061,0.829
'[02:14:14.996 20/01/1989]',0.060,56.093,-0.062,0.845
'[02:14:15.000 20/01/1989]',0.065,55.884,-0.062,0.851
'[02:14:15.004 20/01/1989]',0.060,56.302,-0.065,0.852
'[02:14:15.008 20/01/1989]',0.050,56.721,-0.068,0.858
'[02:14:15.012 20/01/1989]',0.060,56.721,-0.069,0.868
'[02:14:15.016 20/01/1989]',0.055,57.140,-0.070,0.859
'[02:14:15.020 20/01/1989]',0.075,57.349,-0.070,0.858
'[02:14:15.024 20/01/1989]',0.080,57.349,-0.068,0.864
'[02:14:15.028 20/01/1989]',0.070,57.767,-0.068,0.854
'[02:14:15.032 20/01/1989]',0.065,57.767,-0.068,0.864
'[02:14:15.036 20/01/1989]',0.065,57.977,-0.066,0.855
'[02:14:15.040 20/01/1989]',0.060,57.977,-0.061,0.867
'[02:14:15.044 20/01/1989]',0.070,57.977,-0.059,0.862
'[02:14:15.048 20/01/1989]',0.080,58.395,-0.057,0.878
'[02:14:15.052 20/01/1989]',0.075,58.186,-0.054,0.875
'[02:14:15.056 20/01/1989]',0.080,58.814,-0.046,0.891
'[02:14:15.060 20/01/1989]',0.060,58.395,-0.044,0.893
'[02:14:15.064 20/01/1989]',0.065,58.605,-0.041,0.900
'[02:14:15.068 20/01/1989]',0.090,58.605,-0.039,0.891
'[02:14:15.072 20/01/1989]',0.070,58.605,-0.037,0.901
'[02:14:15.076 20/01/1989]',0.090,59.023,-0.036,0.887
'[02:14:15.080 20/01/1989]',0.100,59.023,-0.035,0.888
'[02:14:15.084 20/01/1989]',0.080,58.814,-0.037,0.888
'[02:14:15.088 20/01/1989]',0.090,59.233,-0.040,0.893
'[02:14:15.092 20/01/1989]',0.075,59.442,-0.046,0.896
'[02:14:15.096 20/01/1989]',0.080,58.814,-0.049,0.912
'[02:14:15.100 20/01/1989]',0.080,59.442,-0.050,0.923
'[02:14:15.104 20/01/1989]',0.075,59.651,-0.053,0.926
'[02:14:15.108 20/01/1989]',0.075,59.651,-0.055,0.930
'[02:14:15.112 20/01/1989]',0.080,58.605,-0.053,0.935
'[02:14:15.116 20/01/1989]',0.080,59.023,-0.051,0.928
'[02:14:15.120 20/01/1989]',0.080,59.233,-0.049,0.926
'[02:14:15.124 20/01/1989]',0.085,59.023,-0.048,0.916
'[02:14:15.128 20/01/1989]',0.080,59.023,-0.046,0.916
'[02:14:15.132 20/01/1989]',0.080,58.605,-0.047,0.925
'[02:14:15.136 20/01/1989]',0.090,58.395,-0.042,0.922
'[02:14:15.140 20/01/1989]',0.075,58.186,-0.039,0.939
'[02:14:15.144 20/01/1989]',0.090,57.767,-0.038,0.939
'[02:14:15.148 20/01/1989]',0.080,57.977,-0.037,0.957
'[02:14:15.152 20/01/1989]',0.095,57.977,-0.037,0.955
'[02:14:15.156 20/01/1989]',0.100,57.349,-0.036,0.964
'[02:14:15.160 20/01/1989]',0.100,57.140,-0.035,0.967
'[02:14:15.164 20/01/1989]',0.100,57.140,-0.035,0.977
'[02:14:15.168 20/01/1989]',0.100,56.930,-0.036,0.962
'[02:14:15.172 20/01/1989]',0.105,57.140,-0.038,0.967
'[02:14:15.176 20/01/1989]',0.100,56.302,-0.038,0.959
'[02:14:15.180 20/01/1989]',0.110,56.302,-0.040,0.967
'[02:14:15.184 20/01/1989]',0.120,55.674,-0.036,0.957
'[02:14:15.188 20/01/1989]',0.130,55.465,-0.037,0.967
'[02:14:15.192 20/01/1989]',0.130,55.674,-0.034,0.983
'[02:14:15.196 20/01/1989]',0.130,55.465,-0.032,0.997
'[02:14:15.200 20/01/1989]',0.140,55.046,-0.028,0.997
'[02:14:15.204 20/01/1989]',0.125,54.837,-0.028,1.007
'[02:14:15.208 20/01/1989]',0.120,54.837,-0.030,1.003
'[02:14:15.212 20/01/1989]',0.120,54.209,-0.028,1.007
'[02:14:15.216 20/01/1989]',0.120,53.791,-0.030,1.001
'[02:14:15.220 20/01/1989]',0.105,53.791,-0.037,0.991
'[02:14:15.224 20/01/1989]',0.105,53.791,-0.038,1.000
'[02:14:15.228 20/01/1989]',0.085,53.163,-0.044,0.990
'[02:14:15.232 20/01/1989]',0.085,53.163,-0.049,0.997
'[02:14:15.236 20/01/1989]',0.095,52.953,-0.052,0.996
'[02:14:15.240 20/01/1989]',0.090,52.535,-0.050,1.012
'[02:14:15.244 20/01/1989]',0.095,52.116,-0.052,1.010
'[02:14:15.248 20/01/1989]',0.085,52.116,-0.052,1.017
'[02:14:15.252 20/01/1989]',0.075,52.116,-0.051,1.025
'[02:14:15.256 20/01/1989]',0.060,51.907,-0.046,1.033
'[02:14:15.260 20/01/1989]',0.065,51.279,-0.043,1.025
'[02:14:15.264 20/01/1989]',0.075,51.070,-0.041,1.032
'[02:14:15.268 20/01/1989]',0.075,51.070,-0.039,1.020
'[02:14:15.272 20/01/1989]',0.080,50.442,-0.038,1.023
'[02:14:15.276 20/01/1989]',0.080,50.442,-0.037,1.017
'[02:14:15.280 20/01/1989]',0.070,50.023,-0.036,1.020
'[02:14:15.284 20/01/1989]',0.080,49.814,-0.035,1.014
'[02:14:15.288 20/01/1989]',0.080,49.605,-0.036,1.022
'[02:14:15.292 20/01/1989]',0.075,49.605,-0.039,1.030
'[02:14:15.296 20/01/1989]',0.080,48.767,-0.040,1.038
'[02:14:15.300 20/01/1989]',0.095,48.767,-0.038,1.045
'[02:14:15.304 20/01/1989]',0.080,48.977,-0.045,1.052
'[02:14:15.308 20/01/1989]',0.090,48.977,-0.049,1.046
'[02:14:15.312 20/01/1989]',0.080,48.558,-0.050,1.046
'[02:14:15.316 20/01/1989]',0.090,48.140,-0.053,1.035
'[02:14:15.320 20/01/1989]',0.110,48.558,-0.057,1.032
'[02:14:15.324 20/01/1989]',0.140,47.930,-0.057,1.036
'[02:14:15.328 20/01/1989]',0.205,47.721,-0.057,1.025
'[02:14:15.332 20/01/1989]',0.325,47.512,-0.051,1.035
'[02:14:15.336 20/01/1989]',0.475,47.302,-0.043,1.043
'[02:14:15.340 20/01/1989]',0.665,47.093,-0.031,1.049
'[02:14:15.344 20/01/1989]',0.825,46.884,-0.025,1.048
'[02:14:15.348 20/01/1989]',0.900,46.465,-0.026,1.068
'[02:14:15.352 20/01/1989]',0.720,46.884,-0.032,1.062
'[02:14:15.356 20/01/1989]',0.450,46.884,-0.040,1.071
'[02:14:15.360 20/01/1989]',0.110,46.674,-0.048,1.055
'[02:14:15.364 20/01/1989]',-0.190,46.465,-0.053,1.067
'[02:14:15.368 20/01/1989]',-0.285,46.256,-0.053,1.049
'[02:14:15.372 20/01/1989]',-0.270,46.256,-0.050,1.057
'[02:14:15.376 20/01/1989]',-0.160,46.046,-0.049,1.043
'[02:14:15.380 20/01/1989]',-0.080,45.628,-0.047,1.048
'[02:14:15.384 20/01/1989]',-0.025,45.837,-0.046,1.055
'[02:14:15.388 20/01/1989]',0.010,45.419,-0.043,1.061
'[02:14:15.392 20/01/1989]',0.030,45.419,-0.043,1.065
'[02:14:15.396 20/01/1989]',0.060,45.419,-0.039,1.078
'[02:14:15.400 20/01/1989]',0.080,45.000,-0.036,1.078
'[02:14:15.404 20/01/1989]',0.085,45.419,-0.037,1.086
'[02:14:15.408 20/01/1989]',0.080,45.209,-0.040,1.078
'[02:14:15.412 20/01/1989]',0.085,44.581,-0.038,1.074
'[02:14:15.416 20/01/1989]',0.070,44.163,-0.039,1.062
'[02:14:15.420 20/01/1989]',0.070,44.791,-0.038,1.057
'[02:14:15.424 20/01/1989]',0.075,45.000,-0.035,1.061
'[02:14:15.428 20/01/1989]',0.090,44.581,-0.036,1.049
'[02:14:15.432 20/01/1989]',0.075,44.581,-0.037,1.061
'[02:14:15.436 20/01/1989]',0.085,44.372,-0.036,1.061
'[02:14:15.440 20/01/1989]',0.080,44.372,-0.036,1.067
'[02:14:15.444 20/01/1989]',0.090,43.953,-0.035,1.070
'[02:14:15.448 20/01/1989]',0.100,44.372,-0.036,1.074
'[02:14:15.452 20/01/1989]',0.095,43.953,-0.035,1.075
'[02:14:15.456 20/01/1989]',0.095,43.744,-0.032,1.072
'[02:14:15.460 20/01/1989]',0.090,43.953,-0.031,1.062
'[02:14:15.464 20/01/1989]',0.105,43.744,-0.027,1.070
'[02:14:15.468 20/01/1989]',0.105,43.953,-0.025,1.046
'[02:14:15.472 20/01/1989]',0.115,43.744,-0.023,1.055
'[02:14:15.476 20/01/1989]',0.110,43.953,-0.023,1.043
'[02:14:15.480 20/01/1989]',0.110,43.744,-0.026,1.049
'[02:14:15.484 20/01/1989]',0.105,43.535,-0.026,1.043
'[02:14:15.488 20/01/1989]',0.120,43.744,-0.028,1.051
'[02:14:15.492 20/01/1989]',0.120,43.744,-0.031,1.045
'[02:14:15.496 20/01/1989]',0.115,43.326,-0.030,1.058
'[02:14:15.500 20/01/1989]',0.115,43.535,-0.032,1.052
'[02:14:15.504 20/01/1989]',0.125,43.535,-0.035,1.055
'[02:14:15.508 20/01/1989]',0.120,43.326,-0.037,1.035
'[02:14:15.512 20/01/1989]',0.135,42.907,-0.034,1.030
'[02:14:15.516 20/01/1989]',0.140,42.488,-0.032,1.026
