'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'[23:07:08.944 19/01/1989]',0.140,51.698,-0.061,0.268
'[23:07:08.948 19/01/1989]',0.205,51.907,-0.058,0.265
'[23:07:08.952 19/01/1989]',0.325,51.488,-0.054,0.294
'[23:07:08.956 19/01/1989]',0.495,51.279,-0.041,0.296
'[23:07:08.960 19/01/1989]',0.715,51.070,-0.035,0.283
'[23:07:08.964 19/01/1989]',0.900,51.070,-0.036,0.283
'[23:07:08.968 19/01/1989]',0.940,50.442,-0.041,0.309
'[23:07:08.972 19/01/1989]',0.700,50.442,-0.050,0.278
'[23:07:08.976 19/01/1989]',0.380,50.023,-0.064,0.290
'[23:07:08.980 19/01/1989]',-0.010,50.023,-0.079,0.278
'[23:07:08.984 19/01/1989]',-0.310,49.395,-0.085,0.278
'[23:07:08.988 19/01/1989]',-0.385,49.186,-0.086,0.272
'[23:07:08.992 19/01/1989]',-0.380,48.977,-0.085,0.271
'[23:07:08.996 19/01/1989]',-0.255,48.977,-0.081,0.261
'[23:07:09.000 19/01/1989]',-0.145,48.767,-0.079,0.278
'[23:07:09.004 19/01/1989]',-0.100,48.767,-0.075,0.287
'[23:07:09.008 19/01/1989]',-0.035,48.767,-0.077,0.290
'[23:07:09.012 19/01/1989]',-0.000,48.558,-0.073,0.294
'[23:07:09.016 19/01/1989]',0.040,47.930,-0.071,0.306
'[23:07:09.020 19/01/1989]',0.055,47.930,-0.071,0.296
'[23:07:09.024 19/01/1989]',0.070,47.721,-0.071,0.293
'[23:07:09.028 19/01/1989]',0.065,47.721,-0.069,0.291
'[23:07:09.032 19/01/1989]',0.070,47.093,-0.067,0.275
'[23:07:09.036 19/01/1989]',0.080,47.302,-0.067,0.267
'[23:07:09.040 19/01/1989]',0.075,47.302,-0.067,0.270
'[23:07:09.044 19/01/1989]',0.085,46.884,-0.066,0.281
'[23:07:09.048 19/01/1989]',0.075,46.884,-0.065,0.267
'[23:07:09.052 19/01/1989]',0.090,46.256,-0.063,0.281
'[23:07:09.056 19/01/1989]',0.085,46.465,-0.057,0.278
'[23:07:09.060 19/01/1989]',0.095,46.465,-0.056,0.284
'[23:07:09.064 19/01/1989]',0.100,46.046,-0.054,0.280
'[23:07:09.068 19/01/1989]',0.100,45.628,-0.052,0.307
'[23:07:09.072 19/01/1989]',0.100,45.837,-0.046,0.280
'[23:07:09.076 19/01/1989]',0.115,45.837,-0.044,0.278
'[23:07:09.080 19/01/1989]',0.100,45.628,-0.043,0.275
'[23:07:09.084 19/01/1989]',0.115,45.209,-0.042,0.278
'[23:07:09.088 19/01/1989]',0.130,45.209,-0.042,0.261
'[23:07:09.092 19/01/1989]',0.110,44.791,-0.042,0.262
'[23:07:09.096 19/01/1989]',0.120,44.581,-0.043,0.258
'[23:07:09.100 19/01/1989]',0.130,44.372,-0.044,0.283
'[23:07:09.104 19/01/1989]',0.140,44.581,-0.045,0.278
'[23:07:09.108 19/01/1989]',0.135,44.581,-0.045,0.300
'[23:07:09.112 19/01/1989]',0.120,44.372,-0.044,0.290
'[23:07:09.116 19/01/1989]',0.140,44.163,-0.042,0.296
'[23:07:09.120 19/01/1989]',0.145,44.163,-0.043,0.291
'[23:07:09.124 19/01/1989]',0.145,44.581,-0.046,0.284
'[23:07:09.128 19/01/1989]',0.150,43.953,-0.044,0.272
'[23:07:09.132 19/01/1989]',0.140,43.953,-0.043,0.267
'[23:07:09.136 19/01/1989]',0.145,43.953,-0.044,0.264
'[23:07:09.140 19/01/1989]',0.160,43.744,-0.041,0.267
'[23:07:09.144 19/01/1989]',0.160,43.744,-0.041,0.278
'[23:07:09.148 19/01/1989]',0.160,44.163,-0.040,0.281
'[23:07:09.152 19/01/1989]',0.180,44.791,-0.039,0.287
'[23:07:09.156 19/01/1989]',0.175,45.209,-0.034,0.281
'[23:07:09.160 19/01/1989]',0.165,46.256,-0.033,0.296
'[23:07:09.164 19/01/1989]',0.180,47.930,-0.034,0.291
'[23:07:09.168 19/01/1989]',0.185,48.977,-0.032,0.303
'[23:07:09.172 19/01/1989]',0.200,51.070,-0.031,0.291
'[23:07:09.176 19/01/1989]',0.200,53.163,-0.030,0.277
'[23:07:09.180 19/01/1989]',0.200,55.465,-0.030,0.268
'[23:07:09.184 19/01/1989]',0.205,58.186,-0.031,0.274
'[23:07:09.188 19/01/1989]',0.225,60.698,-0.030,0.270
'[23:07:09.192 19/01/1989]',0.230,63.837,-0.032,0.290
'[23:07:09.196 19/01/1989]',0.235,66.558,-0.036,0.284
'[23:07:09.200 19/01/1989]',0.220,69.907,-0.037,0.281
'[23:07:09.204 19/01/1989]',0.220,73.465,-0.040,0.291
'[23:07:09.208 19/01/1989]',0.220,76.814,-0.041,0.301
'[23:07:09.212 19/01/1989]',0.220,80.163,-0.040,0.299
'[23:07:09.216 19/01/1989]',0.215,83.512,-0.036,0.294
'[23:07:09.220 19/01/1989]',0.230,87.907,-0.037,0.307
'[23:07:09.224 19/01/1989]',0.220,91.465,-0.037,0.288
'[23:07:09.228 19/01/1989]',0.210,94.186,-0.034,0.284
'[23:07:09.232 19/01/1989]',0.215,98.163,-0.033,0.287
'[23:07:09.236 19/01/1989]',0.200,101.512,-0.033,0.290
'[23:07:09.240 19/01/1989]',0.185,104.233,-0.031,0.287
'[23:07:09.244 19/01/1989]',0.185,106.535,-0.030,0.281
'[23:07:09.248 19/01/1989]',0.185,109.046,-0.031,0.293
'[23:07:09.252 19/01/1989]',0.175,110.302,-0.031,0.312
'[23:07:09.256 19/01/1989]',0.160,111.139,-0.031,0.307
'[23:07:09.260 19/01/1989]',0.135,112.186,-0.033,0.307
'[23:07:09.264 19/01/1989]',0.125,112.395,-0.036,0.299
'[23:07:09.268 19/01/1989]',0.100,112.605,-0.039,0.309
'[23:07:09.272 19/01/1989]',0.105,111.558,-0.037,0.304
'[23:07:09.276 19/01/1989]',0.065,110.721,-0.040,0.301
'[23:07:09.280 19/01/1989]',0.075,110.093,-0.042,0.286
'[23:07:09.284 19/01/1989]',0.050,109.046,-0.042,0.281
'[23:07:09.288 19/01/1989]',0.035,107.581,-0.043,0.274
'[23:07:09.292 19/01/1989]',0.020,106.535,-0.042,0.272
'[23:07:09.296 19/01/1989]',0.005,104.023,-0.043,0.272
'[23:07:09.300 19/01/1989]',0.020,102.349,-0.042,0.299
'[23:07:09.304 19/01/1989]',0.020,101.093,-0.042,0.286
'[23:07:09.308 19/01/1989]',-0.000,99.837,-0.045,0.291
'[23:07:09.312 19/01/1989]',-0.000,98.163,-0.044,0.296
'[23:07:09.316 19/01/1989]',0.015,95.860,-0.042,0.294
'[23:07:09.320 19/01/1989]',-0.000,94.814,-0.044,0.284
'[23:07:09.324 19/01/1989]',-0.010,92.930,-0.046,0.291
'[23:07:09.328 19/01/1989]',-0.000,91.256,-0.044,0.278
'[23:07:09.332 19/01/1989]',-0.000,89.372,-0.042,0.264
'[23:07:09.336 19/01/1989]',-0.000,88.326,-0.042,0.268
'[23:07:09.340 19/01/1989]',-0.005,86.442,-0.044,0.278
'[23:07:09.344 19/01/1989]',0.005,84.977,-0.042,0.272
'[23:07:09.348 19/01/1989]',0.015,83.512,-0.044,0.288
'[23:07:09.352 19/01/1989]',-0.000,82.674,-0.042,0.296
'[23:07:09.356 19/01/1989]',0.010,81.419,-0.039,0.296
'[23:07:09.360 19/01/1989]',0.020,80.163,-0.039,0.288
'[23:07:09.364 19/01/1989]',0.005,78.907,-0.041,0.299
'[23:07:09.368 19/01/1989]',0.020,77.651,-0.039,0.296
'[23:07:09.372 19/01/1989]',0.020,76.814,-0.036,0.271
'[23:07:09.376 19/01/1989]',0.025,75.349,-0.036,0.272
'[23:07:09.380 19/01/1989]',0.035,74.721,-0.037,0.261
'[23:07:09.384 19/01/1989]',0.020,73.674,-0.040,0.255
'[23:07:09.388 19/01/1989]',0.030,72.837,-0.038,0.261
'[23:07:09.392 19/01/1989]',0.025,72.209,-0.041,0.272
'[23:07:09.396 19/01/1989]',0.045,71.372,-0.040,0.271
'[23:07:09.400 19/01/1989]',0.035,70.744,-0.042,0.274
'[23:07:09.404 19/01/1989]',0.005,70.535,-0.044,0.287
'[23:07:09.408 19/01/1989]',0.035,69.070,-0.047,0.291
'[23:07:09.412 19/01/1989]',0.040,68.860,-0.046,0.278
'[23:07:09.416 19/01/1989]',0.040,68.023,-0.043,0.278
'[23:07:09.420 19/01/1989]',0.030,66.977,-0.046,0.283
'[23:07:09.424 19/01/1989]',0.035,66.558,-0.048,0.272
'[23:07:09.428 19/01/1989]',0.035,65.512,-0.047,0.261
'[23:07:09.432 19/01/1989]',0.050,65.302,-0.044,0.264
'[23:07:09.436 19/01/1989]',0.045,64.674,-0.046,0.249
'[23:07:09.440 19/01/1989]',0.045,64.046,-0.042,0.267
'[23:07:09.444 19/01/1989]',0.060,63.419,-0.040,0.267
'[23:07:09.448 19/01/1989]',0.035,62.581,-0.039,0.274
'[23:07:09.452 19/01/1989]',0.055,61.953,-0.037,0.275
'[23:07:09.456 19/01/1989]',0.040,61.535,-0.033,0.272
'[23:07:09.460 19/01/1989]',0.040,60.698,-0.034,0.284
'[23:07:09.464 19/01/1989]',0.050,60.488,-0.036,0.261
'[23:07:09.468 19/01/1989]',0.035,60.488,-0.036,0.268
'[23:07:09.472 19/01/1989]',0.045,60.070,-0.036,0.254
'[23:07:09.476 19/01/1989]',0.060,59.023,-0.038,0.243
'[23:07:09.480 19/01/1989]',0.055,58.814,-0.040,0.226
'[23:07:09.484 19/01/1989]',0.060,59.023,-0.044,0.239
'[23:07:09.488 19/01/1989]',0.050,57.977,-0.046,0.222
'[23:07:09.492 19/01/1989]',0.060,58.186,-0.049,0.246
'[23:07:09.496 19/01/1989]',0.035,58.186,-0.051,0.241
'[23:07:09.500 19/01/1989]',0.060,57.977,-0.051,0.252
'[23:07:09.504 19/01/1989]',0.045,57.977,-0.050,0.246
'[23:07:09.508 19/01/1989]',0.040,57.977,-0.053,0.255
'[23:07:09.512 19/01/1989]',0.060,57.977,-0.049,0.249
'[23:07:09.516 19/01/1989]',0.040,57.977,-0.046,0.248
'[23:07:09.520 19/01/1989]',0.040,57.977,-0.050,0.238
'[23:07:09.524 19/01/1989]',0.055,58.186,-0.050,0.225
'[23:07:09.528 19/01/1989]',0.050,57.977,-0.045,0.228
'[23:07:09.532 19/01/1989]',0.060,58.186,-0.043,0.225
'[23:07:09.536 19/01/1989]',0.060,58.605,-0.041,0.220
'[23:07:09.540 19/01/1989]',0.060,58.186,-0.039,0.217
'[23:07:09.544 19/01/1989]',0.060,58.395,-0.035,0.220
'[23:07:09.548 19/01/1989]',0.050,59.442,-0.034,0.239
'[23:07:09.552 19/01/1989]',0.060,58.814,-0.029,0.238
'[23:07:09.556 19/01/1989]',0.050,59.442,-0.023,0.226
'[23:07:09.560 19/01/1989]',0.065,59.651,-0.021,0.225
'[23:07:09.564 19/01/1989]',0.050,59.651,-0.019,0.232
'[23:07:09.568 19/01/1989]',0.055,60.070,-0.016,0.219
'[23:07:09.572 19/01/1989]',0.060,60.488,-0.012,0.207
'[23:07:09.576 19/01/1989]',0.060,60.907,-0.010,0.203
'[23:07:09.580 19/01/1989]',0.065,61.116,-0.009,0.191
'[23:07:09.584 19/01/1989]',0.050,61.326,-0.007,0.197
'[23:07:09.588 19/01/1989]',0.065,61.326,-0.005,0.188
'[23:07:09.592 19/01/1989]',0.055,61.535,-0.005,0.199
'[23:07:09.596 19/01/1989]',0.050,61.953,-0.007,0.203
'[23:07:09.600 19/01/1989]',0.060,61.953,-0.008,0.222
'[23:07:09.604 19/01/1989]',0.065,62.163,-0.009,0.197
'[23:07:09.608 19/01/1989]',0.080,62.372,-0.014,0.203
'[23:07:09.612 19/01/1989]',0.055,62.372,-0.016,0.199
'[23:07:09.616 19/01/1989]',0.085,62.372,-0.019,0.197
'[23:07:09.620 19/01/1989]',0.060,62.581,-0.025,0.184
'[23:07:09.624 19/01/1989]',0.080,62.791,-0.030,0.174
'[23:07:09.628 19/01/1989]',0.065,62.163,-0.030,0.162
'[23:07:09.632 19/01/1989]',0.080,62.372,-0.029,0.162
'[23:07:09.636 19/01/1989]',0.080,62.791,-0.028,0.165
'[23:07:09.640 19/01/1989]',0.100,63.000,-0.025,0.162
'[23:07:09.644 19/01/1989]',0.080,62.581,-0.021,0.168
'[23:07:09.648 19/01/1989]',0.110,62.791,-0.018,0.167
'[23:07:09.652 19/01/1989]',0.100,63.000,-0.013,0.175
'[23:07:09.656 19/01/1989]',0.105,62.163,-0.006,0.168
'[23:07:09.660 19/01/1989]',0.115,62.163,-0.003,0.168
'[23:07:09.664 19/01/1989]',0.110,61.744,-0.002,0.151
'[23:07:09.668 19/01/1989]',0.125,62.163,0.003,0.145
'[23:07:09.672 19/01/1989]',0.145,61.744,0.008,0.139
'[23:07:09.676 19/01/1989]',0.145,61.953,0.011,0.138
'[23:07:09.680 19/01/1989]',0.145,61.326,0.011,0.119
'[23:07:09.684 19/01/1989]',0.135,61.326,0.011,0.133
'[23:07:09.688 19/01/1989]',0.140,61.326,0.011,0.116
'[23:07:09.692 19/01/1989]',0.120,61.116,0.009,0.133
'[23:07:09.696 19/01/1989]',0.130,60.488,0.006,0.123
'[23:07:09.700 19/01/1989]',0.135,60.488,0.003,0.130
'[23:07:09.704 19/01/1989]',0.125,60.070,-0.002,0.119
'[23:07:09.708 19/01/1989]',0.120,60.279,-0.009,0.116
'[23:07:09.712 19/01/1989]',0.105,59.651,-0.013,0.112
'[23:07:09.716 19/01/1989]',0.105,59.651,-0.015,0.099
'[23:07:09.720 19/01/1989]',0.090,59.651,-0.020,0.087
'[23:07:09.724 19/01/1989]',0.100,59.233,-0.023,0.077
'[23:07:09.728 19/01/1989]',0.080,59.023,-0.023,0.064
'[23:07:09.732 19/01/1989]',0.080,58.814,-0.020,0.070
'[23:07:09.736 19/01/1989]',0.060,58.186,-0.019,0.071
'[23:07:09.740 19/01/1989]',0.080,57.977,-0.014,0.065
'[23:07:09.744 19/01/1989]',0.070,57.349,-0.010,0.078
'[23:07:09.748 19/01/1989]',0.065,57.140,-0.007,0.077
'[23:07:09.752 19/01/1989]',0.070,57.349,0.002,0.081
'[23:07:09.756 19/01/1989]',0.065,56.512,0.010,0.070
'[23:07:09.760 19/01/1989]',0.070,56.302,0.020,0.070
'[23:07:09.764 19/01/1989]',0.070,55.465,0.027,0.055
'[23:07:09.768 19/01/1989]',0.090,55.465,0.036,0.049
'[23:07:09.772 19/01/1989]',0.065,54.837,0.047,0.038
'[23:07:09.776 19/01/1989]',0.080,54.628,0.055,0.038
'[23:07:09.780 19/01/1989]',0.065,54.209,0.062,0.022
'[23:07:09.784 19/01/1989]',0.100,54.209,0.066,0.029
'[23:07:09.788 19/01/1989]',0.070,54.209,0.073,0.022
'[23:07:09.792 19/01/1989]',0.080,54.209,0.079,0.035
'[23:07:09.796 19/01/1989]',0.075,53.791,0.083,0.035
'[23:07:09.800 19/01/1989]',0.085,53.372,0.088,0.032
'[23:07:09.804 19/01/1989]',0.115,53.163,0.091,0.025
'[23:07:09.808 19/01/1989]',0.140,52.953,0.089,0.019
'[23:07:09.812 19/01/1989]',0.200,52.744,0.094,0.009
'[23:07:09.816 19/01/1989]',0.285,52.326,0.101,0.003
'[23:07:09.820 19/01/1989]',0.440,52.116,0.107,-0.006
'[23:07:09.824 19/01/1989]',0.630,51.907,0.114,-0.016
'[23:07:09.828 19/01/1989]',0.840,51.488,0.119,-0.029
'[23:07:09.832 19/01/1989]',0.885,51.488,0.119,-0.025
'[23:07:09.836 19/01/1989]',0.795,51.488,0.109,-0.026
'[23:07:09.840 19/01/1989]',0.500,50.860,0.097,-0.028
'[23:07:09.844 19/01/1989]',0.130,50.442,0.083,-0.016
'[23:07:09.848 19/01/1989]',-0.225,50.442,0.076,-0.022
'[23:07:09.852 19/01/1989]',-0.345,49.605,0.073,-0.020
'[23:07:09.856 19/01/1989]',-0.380,50.023,0.079,-0.029
'[23:07:09.860 19/01/1989]',-0.265,50.023,0.084,-0.029
'[23:07:09.864 19/01/1989]',-0.155,49.605,0.086,-0.041
'[23:07:09.868 19/01/1989]',-0.095,49.605,0.091,-0.042
'[23:07:09.872 19/01/1989]',-0.035,49.395,0.097,-0.058
'[23:07:09.876 19/01/1989]',-0.010,49.605,0.102,-0.058
'[23:07:09.880 19/01/1989]',0.050,49.186,0.105,-0.068
'[23:07:09.884 19/01/1989]',0.075,48.767,0.108,-0.061
'[23:07:09.888 19/01/1989]',0.080,48.767,0.113,-0.070
'[23:07:09.892 19/01/1989]',0.085,48.767,0.114,-0.052
'[23:07:09.896 19/01/1989]',0.090,47.930,0.116,-0.058
'[23:07:09.900 19/01/1989]',0.070,48.140,0.118,-0.052
'[23:07:09.904 19/01/1989]',0.080,48.140,0.116,-0.065
'[23:07:09.908 19/01/1989]',0.075,47.930,0.114,-0.075
'[23:07:09.912 19/01/1989]',0.080,47.721,0.116,-0.090
'[23:07:09.916 19/01/1989]',0.085,47.302,0.117,-0.088
'[23:07:09.920 19/01/1989]',0.090,47.721,0.115,-0.094
'[23:07:09.924 19/01/1989]',0.095,47.302,0.112,-0.100
'[23:07:09.928 19/01/1989]',0.095,47.093,0.113,-0.109
'[23:07:09.932 19/01/1989]',0.100,47.093,0.112,-0.107
'[23:07:09.936 19/01/1989]',0.100,47.093,0.111,-0.104
'[23:07:09.940 19/01/1989]',0.100,47.093,0.112,-0.097
'[23:07:09.944 19/01/1989]',0.115,46.465,0.111,-0.088
'[23:07:09.948 19/01/1989]',0.100,46.465,0.109,-0.093
'[23:07:09.952 19/01/1989]',0.110,46.256,0.109,-0.093
'[23:07:09.956 19/01/1989]',0.125,46.465,0.111,-0.101
'[23:07:09.960 19/01/1989]',0.115,45.837,0.110,-0.107
'[23:07:09.964 19/01/1989]',0.125,46.256,0.106,-0.125
'[23:07:09.968 19/01/1989]',0.120,46.046,0.105,-0.129
'[23:07:09.972 19/01/1989]',0.130,46.046,0.102,-0.142
'[23:07:09.976 19/01/1989]',0.140,45.419,0.098,-0.139
'[23:07:09.980 19/01/1989]',0.135,45.000,0.092,-0.146
'[23:07:09.984 19/01/1989]',0.150,45.209,0.088,-0.129
'[23:07:09.988 19/01/1989]',0.135,45.419,0.083,-0.130
'[23:07:09.992 19/01/1989]',0.140,45.000,0.077,-0.119
'[23:07:09.996 19/01/1989]',0.160,45.209,0.074,-0.117
'[23:07:10.000 19/01/1989]',0.160,44.581,0.070,-0.122
'[23:07:10.004 19/01/1989]',0.170,44.581,0.067,-0.122
'[23:07:10.008 19/01/1989]',0.175,44.581,0.061,-0.128
'[23:07:10.012 19/01/1989]',0.165,44.581,0.059,-0.143
'[23:07:10.016 19/01/1989]',0.180,45.209,0.058,-0.145
'[23:07:10.020 19/01/1989]',0.180,46.256,0.052,-0.149
'[23:07:10.024 19/01/1989]',0.200,46.674,0.047,-0.148
'[23:07:10.028 19/01/1989]',0.200,47.302,0.046,-0.154
'[23:07:10.032 19/01/1989]',0.195,49.395,0.043,-0.145
'[23:07:10.036 19/01/1989]',0.195,51.698,0.040,-0.141
'[23:07:10.040 19/01/1989]',0.210,53.791,0.039,-0.143
'[23:07:10.044 19/01/1989]',0.210,56.302,0.038,-0.139
'[23:07:10.048 19/01/1989]',0.220,58.814,0.035,-0.142
'[23:07:10.052 19/01/1989]',0.220,61.744,0.035,-0.135
'[23:07:10.056 19/01/1989]',0.220,65.093,0.037,-0.151
'[23:07:10.060 19/01/1989]',0.220,68.023,0.035,-0.157
'[23:07:10.064 19/01/1989]',0.225,71.163,0.035,-0.168
'[23:07:10.068 19/01/1989]',0.240,74.512,0.034,-0.168
'[23:07:10.072 19/01/1989]',0.235,77.860,0.036,-0.178
'[23:07:10.076 19/01/1989]',0.240,82.256,0.035,-0.174
'[23:07:10.080 19/01/1989]',0.230,85.605,0.032,-0.186
'[23:07:10.084 19/01/1989]',0.225,89.163,0.028,-0.167
'[23:07:10.088 19/01/1989]',0.225,92.930,0.023,-0.174
'[23:07:10.092 19/01/1989]',0.220,96.488,0.018,-0.167
'[23:07:10.096 19/01/1989]',0.220,99.628,0.012,-0.165
'[23:07:10.100 19/01/1989]',0.215,103.186,0.009,-0.162
'[23:07:10.104 19/01/1989]',0.220,106.326,0.003,-0.171
'[23:07:10.108 19/01/1989]',0.205,108.628,-0.004,-0.177
'[23:07:10.112 19/01/1989]',0.185,110.512,-0.006,-0.188
'[23:07:10.116 19/01/1989]',0.170,112.395,-0.006,-0.186
'[23:07:10.120 19/01/1989]',0.170,113.442,-0.010,-0.203
'[23:07:10.124 19/01/1989]',0.160,114.070,-0.009,-0.200
'[23:07:10.128 19/01/1989]',0.160,113.860,-0.007,-0.200
'[23:07:10.132 19/01/1989]',0.125,114.070,-0.006,-0.196
'[23:07:10.136 19/01/1989]',0.115,114.070,-0.006,-0.194
'[23:07:10.140 19/01/1989]',0.075,112.814,-0.006,-0.196
'[23:07:10.144 19/01/1989]',0.080,111.558,-0.009,-0.191
'[23:07:10.148 19/01/1989]',0.060,110.302,-0.010,-0.203
'[23:07:10.152 19/01/1989]',0.040,109.046,-0.012,-0.194
'[23:07:10.156 19/01/1989]',0.030,107.581,-0.013,-0.212
'[23:07:10.160 19/01/1989]',0.020,105.907,-0.017,-0.217
'[23:07:10.164 19/01/1989]',0.025,104.860,-0.020,-0.229
'[23:07:10.168 19/01/1989]',0.005,102.977,-0.022,-0.232
'[23:07:10.172 19/01/1989]',-0.000,101.093,-0.022,-0.249
'[23:07:10.176 19/01/1989]',-0.005,99.628,-0.024,-0.243
'[23:07:10.180 19/01/1989]',-0.000,97.744,-0.027,-0.245
'[23:07:10.184 19/01/1989]',-0.000,96.279,-0.030,-0.238
'[23:07:10.188 19/01/1989]',-0.005,94.605,-0.033,-0.246
'[23:07:10.192 19/01/1989]',-0.000,92.302,-0.034,-0.232
'[23:07:10.196 19/01/1989]',-0.010,91.256,-0.034,-0.232
'[23:07:10.200 19/01/1989]',-0.000,89.372,-0.034,-0.242
'[23:07:10.204 19/01/1989]',0.005,88.326,-0.034,-0.251
'[23:07:10.208 19/01/1989]',-0.000,86.442,-0.035,-0.249
'[23:07:10.212 19/01/1989]',-0.000,84.558,-0.032,-0.277
'[23:07:10.216 19/01/1989]',0.010,83.721,-0.031,-0.270
'[23:07:10.220 19/01/1989]',0.015,82.256,-0.033,-0.283
'[23:07:10.224 19/01/1989]',0.010,81.000,-0.036,-0.280
'[23:07:10.228 19/01/1989]',0.010,79.744,-0.035,-0.284
'[23:07:10.232 19/01/1989]',0.015,78.907,-0.036,-0.287
'[23:07:10.236 19/01/1989]',0.020,78.070,-0.038,-0.278
'[23:07:10.240 19/01/1989]',0.025,76.814,-0.040,-0.280
'[23:07:10.244 19/01/1989]',0.015,75.767,-0.041,-0.280
'[23:07:10.248 19/01/1989]',0.030,74.930,-0.047,-0.281
'[23:07:10.252 19/01/1989]',0.015,74.512,-0.048,-0.294
'[23:07:10.256 19/01/1989]',0.035,73.674,-0.049,-0.296
'[23:07:10.260 19/01/1989]',0.040,72.837,-0.051,-0.301
'[23:07:10.264 19/01/1989]',0.025,72.419,-0.056,-0.325
'[23:07:10.268 19/01/1989]',0.020,71.163,-0.056,-0.330
'[23:07:10.272 19/01/1989]',0.030,70.535,-0.057,-0.339
'[23:07:10.276 19/01/1989]',0.035,69.907,-0.058,-0.336
'[23:07:10.280 19/01/1989]',0.040,68.860,-0.058,-0.341
'[23:07:10.284 19/01/1989]',0.050,67.814,-0.060,-0.330
'[23:07:10.288 19/01/1989]',0.040,67.814,-0.062,-0.341
'[23:07:10.292 19/01/1989]',0.050,67.186,-0.062,-0.332
'[23:07:10.296 19/01/1989]',0.040,66.349,-0.061,-0.343
'[23:07:10.300 19/01/1989]',0.060,65.512,-0.061,-0.345
'[23:07:10.304 19/01/1989]',0.050,64.884,-0.064,-0.358
'[23:07:10.308 19/01/1989]',0.060,64.046,-0.066,-0.365
'[23:07:10.312 19/01/1989]',0.055,63.837,-0.065,-0.368
'[23:07:10.316 19/01/1989]',0.055,63.000,-0.065,-0.380
'[23:07:10.320 19/01/1989]',0.065,63.419,-0.067,-0.394
'[23:07:10.324 19/01/1989]',0.060,62.372,-0.071,-0.371
'[23:07:10.328 19/01/1989]',0.065,61.744,-0.071,-0.391
'[23:07:10.332 19/01/1989]',0.055,60.907,-0.073,-0.377
'[23:07:10.336 19/01/1989]',0.055,60.907,-0.075,-0.367
'[23:07:10.340 19/01/1989]',0.050,60.488,-0.077,-0.377
'[23:07:10.344 19/01/1989]',0.060,60.488,-0.081,-0.365
'[23:07:10.348 19/01/1989]',0.060,59.651,-0.086,-0.387
'[23:07:10.352 19/01/1989]',0.060,59.651,-0.086,-0.387
'[23:07:10.356 19/01/1989]',0.050,59.651,-0.084,-0.387
'[23:07:10.360 19/01/1989]',0.060,59.233,-0.085,-0.412
'[23:07:10.364 19/01/1989]',0.060,59.233,-0.086,-0.414
'[23:07:10.368 19/01/1989]',0.045,58.814,-0.086,-0.416
'[23:07:10.372 19/01/1989]',0.050,58.814,-0.085,-0.416
'[23:07:10.376 19/01/1989]',0.060,59.442,-0.084,-0.416
'[23:07:10.380 19/01/1989]',0.050,59.233,-0.085,-0.429
'[23:07:10.384 19/01/1989]',0.050,59.233,-0.086,-0.406
'[23:07:10.388 19/01/1989]',0.060,59.651,-0.086,-0.410
'[23:07:10.392 19/01/1989]',0.065,59.651,-0.087,-0.410
'[23:07:10.396 19/01/1989]',0.060,59.442,-0.086,-0.423
'[23:07:10.400 19/01/1989]',0.060,59.442,-0.085,-0.410
'[23:07:10.404 19/01/1989]',0.055,60.279,-0.084,-0.423
'[23:07:10.408 19/01/1989]',0.060,60.488,-0.085,-0.428
'[23:07:10.412 19/01/1989]',0.060,60.279,-0.083,-0.446
'[23:07:10.416 19/01/1989]',0.080,60.488,-0.079,-0.452
'[23:07:10.420 19/01/1989]',0.065,60.698,-0.083,-0.452
'[23:07:10.424 19/01/1989]',0.060,61.326,-0.083,-0.441
'[23:07:10.428 19/01/1989]',0.070,61.535,-0.080,-0.441
'[23:07:10.432 19/01/1989]',0.065,61.744,-0.078,-0.443
'[23:07:10.436 19/01/1989]',0.070,62.372,-0.077,-0.419
'[23:07:10.440 19/01/1989]',0.055,62.791,-0.076,-0.420
'[23:07:10.444 19/01/1989]',0.075,63.000,-0.077,-0.417
'[23:07:10.448 19/01/1989]',0.070,63.000,-0.077,-0.435
'[23:07:10.452 19/01/1989]',0.080,63.628,-0.078,-0.446
'[23:07:10.456 19/01/1989]',0.075,63.837,-0.076,-0.458
'[23:07:10.460 19/01/1989]',0.060,64.046,-0.077,-0.461
'[23:07:10.464 19/01/1989]',0.070,64.674,-0.081,-0.464
'[23:07:10.468 19/01/1989]',0.065,64.674,-0.083,-0.454
'[23:07:10.472 19/01/1989]',0.080,65.093,-0.084,-0.458
'[23:07:10.476 19/01/1989]',0.055,64.674,-0.086,-0.449
'[23:07:10.480 19/01/1989]',0.060,64.884,-0.089,-0.461
'[23:07:10.484 19/01/1989]',0.060,65.093,-0.090,-0.464
'[23:07:10.488 19/01/1989]',0.075,65.302,-0.093,-0.475
'[23:07:10.492 19/01/1989]',0.075,65.512,-0.095,-0.471
'[23:07:10.496 19/01/1989]',0.095,65.302,-0.095,-0.472
'[23:07:10.500 19/01/1989]',0.090,65.512,-0.097,-0.467
'[23:07:10.504 19/01/1989]',0.095,65.512,-0.095,-0.474
'[23:07:10.508 19/01/1989]',0.080,66.140,-0.099,-0.490
'[23:07:10.512 19/01/1989]',0.100,65.302,-0.098,-0.513
'[23:07:10.516 19/01/1989]',0.100,65.093,-0.095,-0.491
'[23:07:10.520 19/01/1989]',0.125,65.512,-0.096,-0.501
